"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","297.6","1,304.7","11.9","96.8","786.1","4.3","2.5","349.8"
"Dalvin Cook","MIN","316.6","1,487.0","12.9","54.6","472.2","2.0","2.9","306.8"
"Derrick Henry","TEN","338.2","1,657.1","14.2","24.4","181.1","1.1","2.7","282.2"
"Alvin Kamara","NO","206.8","945.7","9.7","80.3","688.3","3.5","1.9","278.5"
"Saquon Barkley","NYG","268.9","1,243.8","9.5","57.2","442.9","2.3","1.8","263.9"
"Jonathan Taylor","IND","276.0","1,286.0","11.0","42.3","323.1","1.8","1.9","254.9"
"Ezekiel Elliott","DAL","282.6","1,212.0","9.5","52.6","391.6","2.4","2.9","252.2"
"Aaron Jones","GB","232.1","1,125.4","10.4","51.0","394.4","2.7","2.1","251.8"
"Austin Ekeler","LAC","180.7","821.8","4.7","80.3","695.7","4.9","1.6","246.4"
"Nick Chubb","CLE","273.5","1,371.1","11.1","28.6","225.6","1.0","1.9","242.3"
"Joe Mixon","CIN","275.7","1,162.2","8.1","50.2","367.2","2.9","2.0","240.0"
"Najee Harris","PIT","257.4","1,144.0","8.5","49.5","366.6","2.2","2.6","235.2"
"Antonio Gibson","WAS","242.8","1,090.5","9.7","45.4","331.1","1.4","2.1","227.4"
"D'Andre Swift","DET","201.5","885.9","8.2","59.9","443.6","2.1","2.3","220.2"
"Clyde Edwards-Helaire","KC","221.3","996.1","7.2","50.5","390.1","2.2","1.8","216.8"
"Chris Carson","SEA","231.3","1,059.6","7.4","43.4","321.0","2.4","2.1","214.4"
"David Montgomery","CHI","254.3","1,064.0","8.1","38.6","304.8","1.6","1.9","210.4"
"J.K. Dobbins","BAL","212.0","1,076.9","9.4","31.6","240.5","1.2","1.6","207.9"
"Miles Sanders","PHI","220.5","1,057.4","6.5","42.5","350.4","1.7","1.8","207.5"
"Josh Jacobs","LV","251.2","1,073.3","9.4","31.5","236.6","0.9","2.0","204.7"
"Myles Gaskin","MIA","215.9","917.3","6.1","47.9","371.2","1.9","2.1","196.9"
"Darrell Henderson","LAR","235.1","1,010.3","7.7","32.4","268.9","1.6","1.8","196.6"
"Mike Davis","ATL","223.6","882.4","6.5","48.8","311.8","1.7","1.9","189.1"
"Chase Edmonds","ARI","171.4","763.1","4.9","52.4","384.0","2.9","1.5","184.5"
"Travis Etienne","JAC","130.6","582.3","4.1","60.2","478.9","2.6","3.0","170.6"
"Kareem Hunt","CLE","155.7","689.1","5.6","38.5","314.1","2.5","1.3","165.4"
"Javonte Williams","DEN","188.2","835.9","5.5","25.8","202.4","1.1","2.0","152.3"
"David Johnson","HOU","147.8","618.9","4.7","37.0","329.0","2.3","1.5","152.2"
"James Robinson","JAC","182.8","798.6","5.5","29.3","209.5","1.0","1.5","151.3"
"Raheem Mostert","SF","155.3","773.5","6.0","23.8","206.8","1.3","1.4","150.9"
"Leonard Fournette","TB","166.8","684.1","6.4","31.0","213.3","0.8","1.2","145.7"
"Damien Harris","NE","203.0","950.9","5.6","11.5","87.6","0.3","1.4","141.9"
"Zack Moss","BUF","156.9","670.8","5.7","24.5","175.8","0.9","1.2","134.5"
"Melvin Gordon III","DEN","168.9","743.9","5.5","21.8","140.4","1.0","2.4","133.2"
"Kenyan Drake","LV","137.3","571.6","4.6","35.2","247.6","0.8","1.4","129.1"
"James Conner","ARI","141.4","627.6","5.5","22.4","156.7","0.7","1.4","124.1"
"Ronald Jones II","TB","162.9","732.6","5.4","16.0","112.8","0.3","1.4","123.8"
"Trey Sermon","SF","142.0","645.1","5.2","19.3","157.7","1.0","1.8","123.3"
"Michael Carter","NYJ","146.7","616.6","4.1","26.7","204.6","0.9","1.8","121.6"
"Jamaal Williams","DET","133.5","542.8","3.4","34.9","238.8","1.2","1.2","121.3"
"Latavius Murray","NO","141.5","602.4","4.1","25.5","186.0","1.0","1.2","119.6"
"Gus Edwards","BAL","152.2","739.1","5.1","11.0","93.3","0.3","1.3","118.6"
"J.D. McKissic","WAS","65.8","285.2","1.5","56.2","409.8","1.7","0.8","115.6"
"Devin Singletary","BUF","119.4","527.8","2.9","30.4","215.0","1.2","1.3","111.9"
"James White","NE","52.4","214.8","1.8","52.3","423.4","2.3","1.2","111.9"
"Tony Pollard","DAL","110.7","495.8","3.2","30.6","224.4","1.3","1.2","111.9"
"Nyheim Hines","IND","62.4","268.5","1.9","49.8","371.7","2.2","1.2","110.9"
"Tarik Cohen","CHI","66.4","277.8","1.3","54.8","374.2","2.0","1.3","109.9"
"AJ Dillon","GB","140.5","633.7","4.4","15.5","118.5","0.5","1.4","109.8"
"Tevin Coleman","NYJ","133.9","522.4","3.6","19.0","143.0","0.6","1.2","98.5"
"Alexander Mattison","MIN","115.5","519.5","2.7","16.2","132.9","0.6","0.7","92.2"
"Phillip Lindsay","HOU","104.2","460.5","2.7","20.7","132.4","0.3","1.1","85.7"
"Rashaad Penny","SEA","89.8","418.9","3.1","14.8","116.6","0.7","0.7","82.5"
"Darrel Williams","KC","79.0","331.1","3.2","21.1","155.7","0.8","0.6","82.0"
"Giovani Bernard","TB","54.3","197.6","1.4","35.8","272.4","1.5","0.6","80.5"
"Ty Johnson","NYJ","76.2","329.5","2.2","19.9","137.9","0.6","0.3","73.0"
"Sony Michel","NE","99.3","439.9","2.9","7.8","68.2","0.4","0.6","72.8"
"Damien Williams","CHI","67.1","281.2","2.7","17.9","126.3","0.9","0.6","70.1"
"Xavier Jones","LAR","83.1","342.7","2.8","12.1","97.2","0.6","0.6","68.8"
"Darrynton Evans","TEN","57.3","247.7","2.0","16.8","138.2","1.0","0.7","63.8"
"Malcolm Brown","MIA","79.0","307.4","3.5","10.6","70.6","0.2","0.7","63.8"
"Joshua Kelley","LAC","100.2","375.0","2.5","10.5","75.7","0.2","1.7","63.1"
"Jeff Wilson Jr.","SF","70.1","308.8","3.6","5.3","48.9","0.6","1.0","61.8"
"Salvon Ahmed","MIA","74.0","311.3","2.1","12.6","84.4","0.4","0.3","60.3"
"Cordarrelle Patterson","ATL","55.1","252.1","1.6","15.1","133.2","0.7","0.2","59.4"
"Kenneth Gainwell","PHI","61.9","281.1","1.9","14.1","111.5","0.6","1.1","58.6"
"Marlon Mack","IND","74.3","316.5","2.6","9.2","65.5","0.2","0.6","58.3"
"Rex Burkhead","HOU","35.6","150.2","1.4","18.9","172.0","1.3","0.6","56.8"
"Justin Jackson","LAC","69.3","313.5","1.4","13.3","95.1","0.3","0.6","56.7"
"Jake Funk","LAR","48.4","201.4","2.2","14.2","113.3","0.5","0.3","54.4"
"Devontae Booker","NYG","75.5","318.3","1.8","10.5","69.7","0.2","0.7","54.3"
"Kyle Juszczyk","SF","14.0","52.9","0.7","21.8","230.7","2.0","0.7","53.9"
"Chuba Hubbard","CAR","61.9","261.7","2.0","10.7","86.9","0.4","1.1","52.2"
"Mark Ingram II","HOU","57.5","235.8","1.8","11.0","91.0","0.7","0.6","51.8"
"Wayne Gallman","SF","55.2","245.5","2.5","9.2","72.0","0.4","1.0","51.8"
"Qadree Ollison","ATL","67.3","257.8","2.4","9.0","71.9","0.2","0.7","51.7"
"Rhamondre Stevenson","NE","60.6","264.2","2.1","9.9","74.1","0.4","1.1","51.6"
"Larry Rountree III","LAC","57.2","240.6","2.1","9.3","69.8","0.3","0.3","49.9"
"Boston Scott","PHI","37.6","158.5","1.3","18.0","142.1","0.5","0.6","48.3"
"DeeJay Dallas","SEA","45.6","181.6","1.5","14.0","103.4","0.7","0.6","47.7"
"Trayveon Williams","CIN","48.2","206.4","1.3","14.1","113.1","0.5","1.5","46.8"
"Brian Hill","TEN","56.2","281.0","1.2","7.6","56.2","0.2","0.7","44.9"
"Samaje Perine","CIN","51.1","215.9","1.5","9.0","61.6","0.2","0.1","42.2"
"Javian Hawkins","ATL","58.5","240.9","1.8","4.6","35.4","0.1","0.2","41.3"
"Mike Boone","DEN","48.0","228.4","1.8","6.4","43.3","0.1","0.6","40.6"
"Benny Snell Jr.","PIT","60.7","225.2","1.8","6.4","43.3","0.1","0.6","40.2"
"Peyton Barber","WAS","59.2","210.3","2.2","5.0","32.9","0.1","0.6","39.5"
"Jalen Richard","LV","20.2","88.5","0.3","18.7","146.5","0.6","0.2","37.9"
"Matt Breida","BUF","43.6","189.1","1.0","9.6","76.9","0.4","1.1","37.5"
"Carlos Hyde","JAC","52.5","213.1","1.4","6.3","36.7","0.0","0.6","35.6"
"Brandon Bolden","NE","19.4","98.7","2.3","4.9","49.9","0.6","0.0","34.7"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","70.0","1.0","0.0","33.5"
"Jermar Jefferson","DET","33.8","138.2","1.0","10.6","78.5","0.1","0.2","33.2"
"Elijah Mitchell","SF","26.9","124.7","0.8","5.8","52.5","0.2","0.1","26.4"
"Raymond Calais","LAR","29.1","122.7","1.1","4.6","35.4","0.2","0.1","26.0"
"Jaylen Samuels","PIT","26.2","110.1","0.6","7.9","52.2","0.3","0.1","25.7"
"La'Mical Perine","NYJ","32.4","136.6","1.0","4.3","31.4","0.2","0.2","25.3"
"Jerick McKinnon","KC","21.4","94.7","0.4","6.9","49.6","0.2","0.1","21.6"
"Anthony McFarland Jr.","PIT","30.1","115.3","0.5","5.7","45.2","0.1","0.6","21.4"
"Kerryon Johnson","PHI","27.8","109.4","0.7","3.7","29.2","0.1","0.3","19.7"
"Chris Evans","CIN","24.7","97.9","0.4","4.5","34.0","0.2","0.1","18.8"
"Travis Homer","SEA","17.8","75.2","0.4","6.0","43.8","0.2","0.2","18.2"
"Justice Hill","BAL","19.1","87.8","0.6","4.3","30.9","0.1","0.1","18.1"
"Eno Benjamin","ARI","22.8","97.5","0.6","3.4","27.1","0.1","0.1","17.9"
"Theo Riddick","LV","8.0","35.0","0.0","11.0","88.0","0.0","0.0","17.8"
"Kylin Hill","GB","25.1","101.6","0.3","3.6","27.4","0.1","0.1","16.8"
"Dontrell Hilliard","HOU","12.3","44.5","1.0","4.9","36.7","0.0","0.0","16.6"
"Josh Adams","NYJ","16.6","79.0","1.1","0.9","5.5","0.0","0.0","15.4"
"Lamar Miller","WAS","14.9","62.1","0.8","3.1","25.0","0.1","0.0","15.3"
"Ty Montgomery","NO","13.9","51.9","0.1","6.5","51.2","0.2","0.1","15.2"
"Jeremy McNichols","TEN","19.1","85.7","0.3","3.6","23.1","0.0","0.0","14.7"
"Tony Brooks-James","PIT","24.0","102.2","0.4","1.4","11.1","0.0","0.0","14.5"
"JaMycal Hasty","SF","16.6","84.1","0.5","2.2","15.2","0.1","0.0","14.4"
"Trey Edmunds","PIT","14.8","64.0","0.4","3.9","25.8","0.2","0.0","14.3"
"Patrick Ricard","BAL","0.9","1.4","0.0","8.5","58.1","0.8","0.5","14.0"
"Rico Dowdle","DAL","15.6","65.1","0.5","3.3","26.4","0.1","0.0","14.0"
"Alec Ingold","LV","4.5","18.8","0.2","6.6","54.6","0.3","0.1","13.1"
"Jordan Howard","PHI","14.9","64.4","1.0","0.4","4.6","0.0","0.0","13.1"
"Ameer Abdullah","MIN","12.6","50.1","0.1","5.4","38.5","0.2","0.1","13.0"
"Ke'Shawn Vaughn","TB","14.9","63.5","0.5","2.4","16.5","0.1","0.0","12.7"
