"Player","Team","REC","YDS","TDS","FL","FPTS"
"Tyler Kroft","NYJ","14.7","149.2","1.7","0.1","32.4"
"Ryan Izzo","HOU","12.9","213.0","1.0","1.0","31.8"
"Pharaoh Brown","HOU","15.0","162.6","1.2","0.1","30.9"
"Chris Manhertz","JAC","16.0","158.6","1.0","0.0","29.7"
"Jacob Harris","LAR","12.7","158.4","0.9","0.0","27.6"
"Noah Gray","KC","14.4","146.8","1.1","0.5","27.6"
"Matt Sokol","LAC","13.0","140.0","1.0","0.0","26.5"
"Darrell Daniels","ARI","12.8","136.3","1.0","0.1","25.9"
"Brevin Jordan","HOU","12.8","131.5","1.2","0.5","25.9"
"Kyle Markway","LAR","13.0","130.0","1.0","0.0","25.5"
"Reggie Gilliam","BUF","11.0","77.0","2.0","0.0","25.2"
"Marcedes Lewis","GB","10.9","115.1","1.3","0.0","25.0"
"Kahale Warring","HOU","13.0","133.4","0.8","0.0","24.7"
"Thaddeus Moss","CIN","13.0","121.0","1.0","0.0","24.6"
"Nick Vannett","NO","11.9","127.6","1.0","0.1","24.4"
"Carson Meier","MIA","13.0","118.0","1.0","0.0","24.3"
"Farrod Green","IND","12.0","115.0","1.0","0.0","23.5"
"Ryan Griffin","NYJ","11.2","106.5","1.2","0.0","23.2"
"Brycen Hopkins","LAR","12.5","127.9","0.7","0.1","23.2"
"Durham Smythe","MIA","13.1","108.0","1.0","0.0","23.0"
"Luke Farrell","JAC","13.9","130.3","0.7","0.5","22.9"
"Ross Dwelley","SF","11.4","120.1","0.9","0.0","22.8"
"Jace Sternberger","GB","10.8","101.5","1.2","0.0","22.5"
"Hunter Bryant","DET","10.4","122.8","0.8","0.0","22.4"
"Devin Asiasi","NE","10.4","117.1","1.1","0.5","22.3"
"John Bates","WAS","12.4","118.7","0.8","0.5","21.5"
"Derek Carrier","LV","10.0","92.0","1.2","0.0","21.1"
"Stephen Carlson","CLE","8.1","87.8","1.1","0.0","19.5"
"Jordan Thomas","IND","8.3","74.5","1.2","0.0","19.0"
"Blake Bell","KC","10.0","95.3","0.7","0.0","18.8"
"Tre' McKitty","LAC","7.7","81.6","0.4","0.0","14.5"
"Tommy Tremble","CAR","8.6","85.4","0.4","0.5","14.2"
"Tommy Sweeney","BUF","6.0","75.5","0.5","0.0","13.6"
"J.P. Holtz","CHI","5.9","73.2","0.5","0.0","13.3"
"Evan Baylis","KC","6.5","67.5","0.5","0.0","13.0"
"Jesse James","CHI","6.9","59.4","0.5","0.0","12.5"
"Daniel Brown","NYJ","5.4","63.7","0.5","0.0","12.1"
"Jeremy Sprinkle","DAL","6.1","62.6","0.5","0.0","12.0"
"Richard Rodgers","PHI","5.0","65.7","0.5","0.0","11.9"
"Charlie Woerner","SF","5.4","63.9","0.4","0.0","11.7"
"Stephen Anderson","LAC","5.3","65.6","0.4","0.0","11.6"
"Zach Gentry","PIT","6.2","55.2","0.5","0.0","11.4"
"Johnny Mundt","LAR","5.3","57.0","0.5","0.0","11.2"
"Colby Parkinson","SEA","4.9","51.4","0.5","0.0","10.7"
"Jason Croom","PHI","5.4","48.7","0.5","0.0","10.6"
"Jaeden Graham","ATL","4.7","60.0","0.3","0.0","10.1"
"Josiah Deguara","GB","4.4","47.3","0.4","0.1","9.1"
"Kylen Granson","IND","5.2","56.1","0.1","0.0","8.9"
"Josh Oliver","BAL","4.0","41.6","0.4","0.0","8.6"
"Ben Ellefson","JAC","4.1","41.8","0.3","0.0","8.3"
"Ross Travis","ARI","3.9","42.3","0.4","0.0","8.2"
"Noah Togiai","IND","3.9","42.7","0.3","0.1","8.0"
"Nick Keizer","KC","4.2","44.5","0.2","0.0","7.9"
"Alize Mack","DET","4.0","39.2","0.2","0.0","7.1"
"Mason Schreck","CIN","3.5","36.3","0.3","0.0","6.9"
"Caleb Wilson","PHI","3.5","36.2","0.2","0.0","6.6"
"Dominique Dafney","GB","2.4","25.8","0.2","0.0","5.1"
"Lee Smith","ATL","2.6","25.0","0.2","0.0","4.9"
"Garrett Griffin","NO","2.3","25.6","0.2","0.0","4.7"
"Temarrick Hemingway","WAS","2.4","26.7","0.1","0.0","4.7"
"Cethan Carter","MIA","2.5","24.2","0.1","0.0","4.4"
"Trevon Wesco","NYJ","2.3","24.3","0.1","0.0","4.3"
"Kaden Smith","NYG","2.5","22.1","0.1","0.0","4.2"
"Eric Saubert","DEN","2.3","22.7","0.1","0.0","4.2"
"Zach Davidson","MIN","1.8","19.1","0.2","0.0","3.9"
"Ricky Seals-Jones","WAS","1.5","18.3","0.2","0.0","3.6"
"Tanner Hudson","TB","1.5","15.8","0.2","0.0","3.2"
"Deon Yelder","WAS","1.3","14.1","0.2","0.0","3.0"
"Troy Fumagalli","NE","1.4","12.7","0.2","0.0","2.8"
"Brandon Dillon","MIN","1.3","13.9","0.1","0.0","2.7"
"Eric Tomlinson","BAL","1.2","11.7","0.1","0.0","2.2"
"Codey McElroy","TB","0.9","8.5","0.1","0.0","1.8"
"Isaac Nauta","GB","0.8","8.3","0.1","0.0","1.8"
"Kevin Rader","PIT","0.9","8.8","0.0","0.0","1.6"
"Tyrone Swoopes","WAS","0.9","9.6","0.0","0.0","1.4"
"Sean McKeon","DAL","0.9","9.4","0.0","0.0","1.4"
"Tim Tebow","JAC","0.9","8.4","0.0","0.0","1.3"
"MyCole Pruitt","SF","0.8","8.4","0.0","0.0","1.3"
"Hakeem Butler","PHI","0.8","8.4","0.0","0.0","1.3"
"Jordan Franks","CLE","0.8","8.0","0.0","0.0","1.3"
"Jesper Horsted","CHI","0.8","8.3","0.0","0.0","1.2"
"Antony Auclair","HOU","0.8","8.2","0.0","0.0","1.2"
"Levine Toilolo","NYG","0.8","7.4","0.0","0.0","1.1"
"Cole Hikutini","NYG","0.8","7.2","0.0","0.0","1.1"
"Luke Stocker","TEN","0.8","6.2","0.0","0.0","1.1"
"Matt LaCosse","NE","0.7","6.8","0.0","0.0","1.0"
"Colin Thompson","CAR","0.7","6.8","0.0","0.0","1.0"
""
""
