"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","112.3","1,400.5","10.1","0.8","255.4"
"George Kittle","SF","96.3","1,206.0","6.5","0.7","206.6"
"Darren Waller","LV","100.3","1,145.2","7.1","0.9","205.7"
"Mark Andrews","BAL","69.8","849.8","8.1","0.9","166.7"
"Kyle Pitts","ATL","69.0","832.8","6.4","1.2","153.5"
"T.J. Hockenson","DET","75.3","834.7","5.2","0.8","150.9"
"Dallas Goedert","PHI","63.9","704.0","5.1","0.7","131.7"
"Tyler Higbee","LAR","59.9","668.3","5.3","0.6","127.2"
"Noah Fant","DEN","62.1","692.3","4.4","0.6","125.6"
"Logan Thomas","WAS","62.9","647.2","4.9","0.6","124.6"
"Robert Tonyan","GB","54.1","592.7","6.3","0.1","123.6"
"Mike Gesicki","MIA","55.4","619.6","5.3","0.7","119.9"
"Irv Smith Jr.","MIN","52.0","575.9","5.5","0.7","115.1"
"Eric Ebron","PIT","58.1","573.3","4.5","0.7","112.3"
"Jared Cook","LAC","45.9","575.2","5.1","0.6","109.9"
"Hunter Henry","NE","53.7","583.4","4.2","0.6","109.1"
"Rob Gronkowski","TB","42.2","549.2","5.5","0.2","108.9"
"Jonnu Smith","NE","53.5","562.1","4.4","0.7","107.8"
"Evan Engram","NYG","57.5","582.8","3.6","0.7","107.6"
"Blake Jarwin","DAL","50.3","567.1","4.1","0.7","105.3"
"Adam Trautman","NO","51.0","558.0","4.1","0.7","104.8"
"Austin Hooper","CLE","49.5","496.8","4.5","0.6","100.0"
"Anthony Firkser","TEN","48.4","519.3","3.8","0.1","98.9"
"Cole Kmet","CHI","48.2","479.4","3.7","1.2","91.9"
"Zach Ertz","PHI","46.5","473.6","3.3","0.6","88.9"
"Gerald Everett","SEA","42.0","432.5","3.9","0.6","86.5"
"Jordan Akins","HOU","44.1","467.6","2.8","0.1","85.6"
"Hayden Hurst","ATL","38.5","405.2","2.9","0.1","77.3"
"Dawson Knox","BUF","33.4","384.3","3.5","0.6","75.0"
"Chris Herndon IV","NYJ","39.2","394.3","3.0","1.6","73.9"
"C.J. Uzomah","CIN","36.8","357.5","3.2","0.1","73.4"
"Jack Doyle","IND","34.2","353.8","3.2","0.2","71.3"
"Mo Alie-Cox","IND","33.2","360.3","2.6","0.6","67.1"
"Will Dissly","SEA","30.3","317.5","3.0","0.1","64.7"
"Donald Parham Jr.","LAC","28.0","339.9","2.5","0.1","62.8"
"Dan Arnold","CAR","27.5","345.0","2.3","0.7","60.7"
"O.J. Howard","TB","26.7","339.2","2.4","0.7","60.5"
"Jacob Hollister","BUF","29.1","263.8","2.3","0.6","53.7"
"David Njoku","CLE","24.0","259.0","2.6","0.0","53.5"
"Tyler Conklin","MIN","26.2","275.3","2.1","0.1","53.0"
"Jimmy Graham","CHI","22.8","238.1","2.6","0.1","50.5"
"Dalton Schultz","DAL","23.4","243.1","2.0","0.1","47.9"
"Maxx Williams","ARI","21.4","236.8","2.0","0.1","46.0"
"Nick Boyle","BAL","23.2","216.9","2.1","0.0","45.8"
"Geoff Swaim","TEN","23.2","216.1","1.8","0.1","43.8"
"Kyle Rudolph","NYG","23.1","212.3","1.8","0.1","43.3"
"Drew Sample","CIN","24.5","231.5","1.4","0.6","42.8"
"James O'Shaughnessy","JAC","24.2","239.1","1.0","0.1","42.1"
"Cameron Brate","TB","22.0","206.1","1.8","0.0","42.1"
"Harrison Bryant","CLE","19.1","206.0","1.8","1.1","39.1"
"Darren Fells","DET","18.2","188.3","1.6","0.0","37.4"
"Foster Moreau","LV","13.9","152.2","2.1","0.1","34.9"
"Pat Freiermuth","PIT","19.8","178.9","1.3","0.5","34.7"
"Albert Okwuegbunam","DEN","16.6","174.1","1.4","0.1","33.9"
"Adam Shaheen","MIA","16.3","164.1","1.9","1.0","33.6"
"Hunter Long","MIA","18.6","175.7","1.3","0.5","33.3"
"Ian Thomas","CAR","18.0","159.3","1.3","0.0","32.5"
