"RK","PLAYER NAME",TEAM,"SOS SEASON","SOS PLAYOFFS","PROJ. FPTS","ECR VS. ADP"
"72","Jeff Wilson Jr.",SF,"3 out of 5 stars","3 out of 5 stars","47.6","+5"
"73","Jerick McKinnon",KC,"4 out of 5 stars","3 out of 5 stars","46.2","+14"
"74","DeeJay Dallas",SEA,"1 out of 5 stars","3 out of 5 stars","46.2","+36"
"75","Darrel Williams",KC,"4 out of 5 stars","3 out of 5 stars","44.8","-17"
"76","Darrynton Evans",TEN,"3 out of 5 stars","2 out of 5 stars","44.8","-6"
"77","JaMycal Hasty",SF,"3 out of 5 stars","3 out of 5 stars","44.8","-"
"78","Jaret Patterson",WAS,"3 out of 5 stars","3 out of 5 stars","44.8","-3"
"79","Kylin Hill",GB,"1 out of 5 stars","1 out of 5 stars","44.8","+29"
"80","Tarik Cohen",CHI,"4 out of 5 stars","4 out of 5 stars","42.0","-17"
"81","Joshua Kelley",LAC,"5 out of 5 stars","5 out of 5 stars","42.0","+1"
"82","Jermar Jefferson",DET,"1 out of 5 stars","2 out of 5 stars","37.8","+23"
"83","Benny Snell Jr.",PIT,"5 out of 5 stars","4 out of 5 stars","36.4","-12"
"84","Ke'Shawn Vaughn",TB,"0 out of 5 stars","3 out of 5 stars","36.4","+8"
"85","La'Mical Perine",NYJ,"4 out of 5 stars","3 out of 5 stars","35.0","-5"
"86","Jordan Wilkins",IND,"4 out of 5 stars","4 out of 5 stars","35.0","-"
"87","Royce Freeman",CAR,"2 out of 5 stars","1 out of 5 stars","33.6","-6"
"88","Jake Funk",LAR,"4 out of 5 stars","3 out of 5 stars","32.2","-10"
"89","Jeremy McNichols",TEN,"3 out of 5 stars","2 out of 5 stars","30.8","+25"
"90","Rex Burkhead",HOU,"4 out of 5 stars","4 out of 5 stars","29.4","+27"
"91","Anthony McFarland Jr.",PIT,"5 out of 5 stars","4 out of 5 stars","29.4","-26"
"92","Keith Smith",ATL,"3 out of 5 stars","4 out of 5 stars","29.4","-"
"93","Eno Benjamin",ARI,"3 out of 5 stars","3 out of 5 stars","26.6","-7"
"94","J.J. Taylor",NE,"3 out of 5 stars","3 out of 5 stars","26.6","-21"
"95","Kerryon Johnson",SF,"3 out of 5 stars","3 out of 5 stars","26.6","+1"
"96","Jalen Richard",LV,"2 out of 5 stars","3 out of 5 stars","23.8","-6"
"97","Ameer Abdullah",MIN,"3 out of 5 stars","0 out of 5 stars","23.8","+1"
"98","Kene Nwangwu",MIN,"3 out of 5 stars","0 out of 5 stars","23.8","-"
"99","Kalen Ballage",PIT,"5 out of 5 stars","4 out of 5 stars","22.4","-5"
"100","Chris Evans",CIN,"3 out of 5 stars","2 out of 5 stars","22.4","-7"
"101","Kyle Juszczyk",SF,"3 out of 5 stars","3 out of 5 stars","22.4","+14"
"102","Alex Collins",SEA,"1 out of 5 stars","3 out of 5 stars","22.4","-"
"103","Mike Boone",DEN,"4 out of 5 stars","5 out of 5 stars","19.6","-15"
"104","Travis Homer",SEA,"1 out of 5 stars","3 out of 5 stars","19.6","-"
"105","Khari Blasingame",TEN,"3 out of 5 stars","2 out of 5 stars","18.2","-"
"106","Gary Brightwell",NYG,"1 out of 5 stars","3 out of 5 stars","18.2","-"
"107","Khalil Herbert",CHI,"4 out of 5 stars","4 out of 5 stars","16.8","+6"
"108","Devonta Freeman",BAL,"3 out of 5 stars","3 out of 5 stars","16.8","-"
