"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","606.2","401.1","4,584.5","34.0","13.3","110.6","519.8","7.6","5.1","380.5"
"Patrick Mahomes II","KC","630.0","418.4","5,021.7","38.8","8.9","55.5","268.0","2.9","2.5","377.8"
"Kyler Murray","ARI","591.0","391.4","4,218.9","27.0","12.9","126.5","702.1","7.7","3.7","360.0"
"Lamar Jackson","BAL","456.4","292.2","3,332.0","28.3","11.7","161.5","966.6","7.2","4.5","353.8"
"Dak Prescott","DAL","623.1","416.5","4,853.7","31.4","11.1","63.5","296.6","4.0","4.2","342.9"
"Russell Wilson","SEA","575.8","384.2","4,287.2","34.9","12.3","81.8","441.2","2.1","3.5","336.0"
"Aaron Rodgers","GB","572.2","385.9","4,453.0","36.8","7.2","39.9","168.6","1.9","3.1","333.0"
"Justin Herbert","LAC","615.4","399.4","4,576.6","30.5","12.0","61.2","273.0","4.4","2.6","329.3"
"Tom Brady","TB","621.5","405.0","4,705.2","37.2","11.9","24.5","31.8","2.1","2.2","324.4"
"Jalen Hurts","PHI","539.9","329.9","3,733.5","22.4","14.1","134.1","691.9","5.9","4.7","305.9"
"Ryan Tannehill","TEN","527.9","348.4","4,109.0","30.0","10.5","51.9","229.7","3.4","2.9","301.2"
"Joe Burrow","CIN","612.5","399.9","4,314.5","26.2","11.8","54.1","227.2","3.0","4.2","286.5"
"Matthew Stafford","LAR","612.2","405.4","4,563.6","28.5","11.5","31.7","120.6","0.7","3.2","283.3"
"Trevor Lawrence","JAC","593.1","379.8","4,179.3","24.9","13.1","68.9","320.9","2.3","3.2","280.0"
"Matt Ryan","ATL","613.8","401.6","4,518.0","27.3","12.8","32.9","117.6","1.4","4.3","275.7"
"Kirk Cousins","MIN","541.6","364.1","4,273.4","30.1","13.0","35.3","114.2","1.1","4.1","274.9"
"Tua Tagovailoa","MIA","579.5","377.9","3,988.2","26.0","13.6","56.7","214.8","2.8","1.8","271.2"
"Baker Mayfield","CLE","543.5","346.9","3,993.0","28.0","11.5","44.2","168.4","1.8","3.4","269.6"
