"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Marlon Mack","IND","68.6","294.5","2.4","8.7","62.1","0.2","0.6","54.1"
"Kyle Juszczyk","SF","13.9","52.6","0.7","21.9","231.2","2.0","0.7","54.1"
"Cordarrelle Patterson","ATL","44.9","205.1","1.3","15.0","132.4","0.7","0.2","53.0"
"Chuba Hubbard","CAR","61.8","261.1","2.0","10.6","85.9","0.4","1.1","52.0"
"Jeff Wilson Jr.","SF","56.3","246.4","3.0","5.4","48.9","0.6","1.0","51.9"
"Rex Burkhead","HOU","32.0","135.0","1.3","16.7","157.1","1.2","0.6","51.6"
"Xavier Jones","LAR","56.7","233.8","2.2","10.7","85.7","0.4","1.1","51.0"
"Salvon Ahmed","MIA","62.9","263.7","1.7","10.0","66.4","0.3","0.3","49.7"
"Wayne Gallman","SF","50.9","224.5","2.3","9.6","74.4","0.4","0.6","49.5"
"DeeJay Dallas","SEA","44.0","175.0","1.4","14.5","107.1","0.8","0.6","47.4"
"Trayveon Williams","CIN","48.0","205.3","1.3","14.1","113.1","0.5","1.5","46.6"
"Kenneth Gainwell","PHI","48.1","219.7","1.5","10.9","85.4","0.4","1.1","45.0"
"Justice Hill","BAL","42.5","194.8","1.2","13.7","90.9","0.4","0.1","44.7"
"Jaret Patterson","WAS","54.4","226.0","1.8","6.7","54.4","0.2","0.2","43.2"
"Samaje Perine","CIN","50.8","214.7","1.5","9.1","61.7","0.2","0.1","42.0"
"Matt Breida","BUF","45.0","198.7","1.0","10.5","83.5","0.5","1.1","40.2"
"Mike Boone","DEN","47.6","226.4","1.6","6.5","44.0","0.1","0.6","39.3"
"Brandon Bolden","NE","25.2","123.9","2.5","4.3","43.8","0.6","0.0","37.5"
"Benny Snell Jr.","PIT","56.0","206.7","1.6","5.5","37.2","0.1","0.6","36.3"
"Tony Jones Jr.","NO","57.4","164.1","1.2","8.0","58.6","0.3","0.2","34.3"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","70.0","1.0","0.0","33.5"
"Jalen Richard","LV","23.7","103.7","0.5","13.1","104.4","0.4","0.6","31.6"
"Jermar Jefferson","DET","29.8","121.6","0.9","10.7","79.7","0.1","0.1","31.2"
"Larry Rountree III","LAC","36.8","154.8","1.4","4.6","34.9","0.2","0.2","30.4"
"J.J. Taylor","NE","29.2","125.9","1.0","6.8","50.2","0.3","0.2","28.2"
"Elijah Mitchell","SF","26.8","124.1","0.8","5.7","51.5","0.2","0.1","26.1"
"Jaylen Samuels","PIT","26.5","111.0","0.6","7.6","50.8","0.3","0.1","25.6"
"Rico Dowdle","DAL","33.0","136.0","1.0","4.0","34.0","0.0","0.0","25.0"
"Anthony McFarland Jr.","PIT","33.3","129.0","0.6","6.2","48.9","0.1","0.6","24.1"
"Alex Collins","SEA","20.2","84.7","0.8","6.5","48.3","0.3","0.3","22.6"
"Jeremy McNichols","TEN","27.1","119.5","0.7","4.7","31.5","0.1","0.1","21.9"
"Jerick McKinnon","KC","21.6","95.4","0.4","6.7","48.2","0.2","0.1","21.5"
"Ty Montgomery","NO","11.5","41.0","0.0","11.2","84.8","0.1","0.0","19.0"
"La'Mical Perine","NYJ","26.2","110.6","0.8","2.5","19.0","0.1","0.2","18.9"
"Chris Evans","CIN","24.4","96.9","0.4","4.4","32.8","0.2","0.1","18.4"
"Kylin Hill","GB","25.1","101.9","0.3","3.7","27.8","0.1","0.1","16.9"
"Dare Ogunbowale","JAC","7.1","30.6","0.2","8.6","66.3","0.3","0.1","16.7"
"Demetric Felton","CLE","18.5","89.6","0.7","2.5","21.0","0.0","0.0","16.6"
"Ameer Abdullah","MIN","15.4","68.7","0.1","6.0","42.0","0.3","0.0","16.4"
"Gerrid Doaks","MIA","16.3","68.0","0.6","4.5","33.0","0.1","0.1","16.4"
"Jake Funk","LAR","12.3","51.0","0.6","4.7","37.5","0.2","0.1","15.7"
"Patrick Ricard","BAL","2.0","6.2","0.1","8.8","58.4","0.8","0.5","15.0"
"Eno Benjamin","ARI","19.7","84.5","0.5","2.3","18.6","0.0","0.0","14.3"
"Reggie Bonnafon","CAR","19.2","87.9","0.4","2.3","17.7","0.0","0.0","14.0"
"Jordan Howard","PHI","19.6","76.4","0.8","1.2","9.5","0.0","0.0","13.9"
"Alec Ingold","LV","4.4","18.8","0.2","6.6","54.5","0.3","0.1","13.2"
"C.J. Ham","MIN","4.7","19.9","0.2","6.1","51.1","0.3","0.1","12.9"
"Ke'Shawn Vaughn","TB","15.0","63.9","0.5","2.3","16.5","0.1","0.0","12.8"
"Royce Freeman","DEN","14.3","60.0","0.4","3.3","20.5","0.1","0.0","12.7"
"JaMycal Hasty","SF","14.8","76.2","0.4","2.0","13.6","0.0","0.0","12.7"
"Trey Edmunds","PIT","14.8","64.1","0.4","2.4","16.1","0.2","0.0","12.5"
"D'Onta Foreman","ATL","18.9","78.5","0.5","1.6","12.5","0.0","0.2","12.5"
"D'Ernest Johnson","CLE","17.9","76.5","0.3","2.3","17.1","0.0","0.1","12.5"
"Travis Homer","SEA","14.8","62.5","0.3","3.4","25.1","0.1","0.1","12.4"
"Jordan Wilkins","IND","14.4","70.3","0.4","1.7","12.6","0.1","0.0","12.2"
"Kene Nwangwu","MIN","16.3","65.7","0.2","2.4","17.8","0.0","0.0","10.7"
"Khalil Herbert","CHI","9.7","40.3","0.3","2.8","22.0","0.1","0.1","9.7"
"Alex Armah","NO","4.2","17.4","0.2","4.1","34.5","0.2","0.1","9.3"
"Andrew Beck","DEN","4.9","21.2","0.2","4.3","29.2","0.2","0.0","9.2"
"Corey Clement","NYG","10.7","44.9","0.4","1.6","12.2","0.0","0.1","9.1"
"Keith Smith","ATL","4.3","18.2","0.1","3.3","25.8","0.2","0.1","7.6"
"Gary Brightwell","NYG","12.0","52.4","0.1","1.5","11.0","0.0","0.0","7.5"
"Gabe Nabers","LAC","3.3","14.4","0.1","3.2","25.0","0.2","0.1","7.4"
"Andy Janovich","CLE","1.0","4.3","0.0","4.0","33.5","0.2","0.0","6.9"
"Devine Ozigbo","JAC","4.7","20.1","0.1","2.7","20.2","0.1","0.1","6.4"
"Kalen Ballage","PIT","7.0","27.8","0.2","1.7","11.7","0.0","0.1","6.2"
"Trenton Cannon","CAR","4.1","17.1","0.1","2.5","19.2","0.1","0.0","5.9"
"Ben Mason","BAL","0.0","0.0","0.0","3.5","27.6","0.2","0.0","5.9"
"Nick Bellore","SEA","1.5","6.7","0.0","3.1","22.3","0.2","0.0","5.5"
"Michael Burton","KC","3.3","14.1","0.1","1.8","14.8","0.1","0.0","4.9"
"Derek Watt","PIT","4.3","18.2","0.2","1.2","8.7","0.1","0.0","4.6"
"Khari Blasingame","TEN","0.5","2.1","0.0","2.3","19.3","0.1","0.0","3.9"
"Jakob Johnson","NE","0.0","0.0","0.0","2.4","20.1","0.1","0.0","3.6"
"Dwayne Washington","NO","2.6","10.9","0.1","1.5","11.9","0.0","0.0","3.6"
"Elijhaa Penny","NYG","2.5","10.2","0.1","1.5","10.9","0.0","0.0","3.5"
"Antonio Williams","BUF","4.2","18.1","0.1","0.4","3.2","0.0","0.0","3.0"
"Taiwan Jones","BUF","1.1","4.7","0.0","0.9","7.1","0.0","0.0","1.6"
"C.J. Prosise","TB","0.9","3.6","0.0","1.0","7.0","0.0","0.0","1.5"
"Josh Adams","NYJ","1.1","4.6","0.0","0.9","6.0","0.0","0.0","1.5"
"Ryan Nall","CHI","0.9","3.9","0.0","0.9","6.2","0.0","0.0","1.4"
"Nathan Cottrell","JAC","0.9","3.6","0.0","0.9","6.4","0.0","0.0","1.4"
"LeVante Bellamy","DEN","1.0","4.4","0.0","0.9","5.7","0.0","0.0","1.4"
"Artavis Pierce","CHI","0.9","3.9","0.0","0.9","6.2","0.0","0.0","1.4"
"Adrian Killins Jr.","DEN","0.9","3.9","0.0","0.9","6.1","0.0","0.0","1.4"
"Jason Cabinda","DET","0.8","3.5","0.0","0.9","6.1","0.0","0.0","1.4"
"Damarea Crockett","DEN","1.0","4.2","0.0","0.9","5.7","0.0","0.0","1.4"
"Patrick Laird","MIA","0.9","3.9","0.0","0.9","5.5","0.0","0.0","1.4"
"Taquan Mizzell","NYG","0.9","3.7","0.0","0.9","5.4","0.0","0.0","1.3"
"Cullen Gillaspia","NYG","0.9","3.7","0.0","0.9","5.2","0.0","0.0","1.3"
"Dontrell Hilliard","HOU","0.8","3.5","0.0","0.8","5.6","0.0","0.0","1.3"
"Alfred Morris","NYG","0.9","3.5","0.0","0.9","5.2","0.0","0.0","1.3"
"Scottie Phillips","HOU","0.8","3.5","0.0","0.8","5.4","0.0","0.0","1.3"
""
""
