"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Darrell Henderson","LAR","110.4","469.4","3.7","16.6","137.8","0.8","1.1","93.8"
"Alexander Mattison","MIN","112.8","507.5","2.6","16.5","134.3","0.6","0.7","90.8"
"Rashaad Penny","SEA","90.8","423.4","3.1","15.4","120.7","0.7","0.7","83.9"
"Darrel Williams","KC","78.5","328.4","3.3","21.0","155.4","0.8","0.6","82.0"
"Sony Michel","NE","112.5","496.7","3.4","8.1","72.0","0.1","0.7","80.8"
"Phillip Lindsay","HOU","94.5","417.1","2.4","18.2","116.8","0.3","0.6","77.5"
"Giovani Bernard","TB","49.6","181.6","1.3","31.5","240.9","1.3","0.6","71.8"
"Damien Williams","CHI","62.1","259.2","2.5","18.4","132.4","1.0","0.6","67.9"
"Justin Jackson","LAC","77.5","350.4","1.6","15.8","112.5","0.4","0.6","65.1"
"Salvon Ahmed","MIA","79.2","322.6","2.4","12.5","84.5","0.4","0.7","62.5"
"Wayne Gallman","SF","71.3","314.3","2.9","9.8","75.9","0.4","1.0","62.2"
"Darrynton Evans","TEN","54.2","234.8","1.9","16.8","138.8","1.0","0.7","62.0"
"Ty Johnson","NYJ","60.9","262.7","1.7","18.5","127.8","0.6","0.1","62.0"
"Mark Ingram II","HOU","69.1","287.2","2.2","12.5","102.2","0.7","0.6","61.5"
"Marlon Mack","IND","80.6","334.8","2.7","9.4","66.8","0.2","0.6","61.2"
"Joshua Kelley","LAC","96.4","360.7","2.4","9.3","67.1","0.2","1.2","60.7"
"Cordarrelle Patterson","ATL","55.1","252.2","1.6","15.1","134.1","0.7","0.2","59.6"
"Malcolm Brown","MIA","69.8","271.3","3.1","9.8","65.6","0.2","0.6","57.1"
"Kenneth Gainwell","PHI","59.0","266.9","1.6","14.1","112.1","0.5","1.1","55.7"
"Kyle Juszczyk","SF","13.8","52.4","0.7","21.9","232.0","2.0","0.7","54.2"
"Rex Burkhead","HOU","34.6","145.6","1.4","16.7","158.2","1.3","0.6","53.5"
"Trayveon Williams","CIN","54.3","234.6","1.5","15.9","125.2","0.6","1.6","53.0"
"Chuba Hubbard","CAR","61.7","261.5","2.0","10.7","86.8","0.4","1.1","52.3"
"Qadree Ollison","ATL","67.3","257.9","2.4","9.0","71.7","0.2","0.7","51.8"
"Devontae Booker","NYG","68.8","291.5","1.7","10.8","71.8","0.2","0.7","51.6"
"Boston Scott","PHI","40.0","168.6","1.4","18.1","144.8","0.5","0.6","50.1"
"Benny Snell Jr.","PIT","70.8","264.4","2.2","8.3","55.0","0.2","0.7","49.2"
"DeeJay Dallas","SEA","46.7","186.3","1.6","14.5","107.1","0.7","0.6","49.1"
"Rhamondre Stevenson","NE","52.0","227.8","1.8","8.6","64.9","0.3","1.0","44.2"
"Jeff Wilson Jr.","SF","49.2","211.8","2.6","3.0","31.5","0.5","1.0","42.7"
"Mike Boone","DEN","50.4","238.6","1.8","6.6","44.5","0.1","0.6","42.4"
"Samaje Perine","CIN","48.9","207.0","1.4","9.1","61.7","0.2","0.1","41.0"
"Matt Breida","BUF","44.1","192.1","1.0","9.6","76.9","0.4","1.1","37.9"
"Jalen Richard","LV","22.0","96.8","0.3","17.2","133.9","0.6","0.1","36.8"
"Peyton Barber","WAS","54.2","191.7","2.1","5.0","32.8","0.1","0.6","36.8"
"Brandon Bolden","NE","19.9","100.4","2.3","4.9","49.9","0.6","0.0","34.9"
"Brian Hill","TEN","45.6","234.3","1.0","4.8","35.2","0.1","0.6","34.6"
"Carlos Hyde","JAC","52.0","211.8","1.4","5.6","33.0","0.0","0.6","34.5"
"Javian Hawkins","ATL","46.0","189.5","1.5","4.6","35.4","0.1","0.2","33.9"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","71.0","1.0","0.0","33.6"
"La'Mical Perine","NYJ","36.6","154.3","1.1","6.4","47.2","0.2","0.2","30.7"
"Jermar Jefferson","DET","29.9","122.3","0.9","9.4","69.9","0.1","0.1","29.5"
"Elijah Mitchell","SF","25.1","117.4","1.3","5.8","53.0","0.2","0.0","28.4"
"Larry Rountree III","LAC","28.7","120.4","1.1","4.6","34.9","0.2","0.1","25.2"
"Jerick McKinnon","KC","22.6","99.5","0.5","8.7","63.3","0.3","0.1","24.9"
"Jaylen Samuels","PIT","24.2","101.4","0.6","7.9","52.4","0.3","0.1","24.6"
"D'Onta Foreman","TEN","36.0","168.0","1.0","1.0","8.0","0.0","0.0","24.1"
"Ameer Abdullah","MIN","18.9","76.1","0.3","8.0","58.5","0.3","0.1","20.7"
"Tony Brooks-James","ATL","33.0","139.4","0.8","0.9","6.3","0.0","0.0","20.0"
"Justice Hill","BAL","19.4","88.9","0.6","5.2","37.2","0.2","0.1","19.8"
"Anthony McFarland Jr.","PIT","27.8","106.5","0.5","5.3","42.0","0.1","0.6","19.5"
"Kerryon Johnson","PHI","26.1","102.2","0.6","3.7","29.6","0.1","0.3","18.8"
"Jeremy McNichols","TEN","21.8","96.8","0.5","4.7","31.6","0.1","0.1","18.7"
"Travis Homer","SEA","17.7","75.1","0.4","6.0","43.8","0.2","0.2","18.2"
"Eno Benjamin","ARI","22.7","96.9","0.6","3.5","27.7","0.1","0.1","17.9"
"JaMycal Hasty","SF","21.4","104.8","0.6","2.7","18.7","0.1","0.0","17.8"
"Dexter Williams","GB","12.7","54.2","0.4","6.6","49.2","0.3","0.1","17.6"
"Dontrell Hilliard","HOU","12.4","45.0","1.0","4.9","36.6","0.0","0.0","16.6"
"Lamar Miller","WAS","14.9","62.4","0.8","3.1","25.4","0.1","0.0","15.5"
"Josh Adams","NYJ","16.6","79.0","1.1","0.9","5.5","0.0","0.0","15.4"
"Raymond Calais","LAR","13.1","54.4","0.7","3.9","30.9","0.1","0.1","15.0"
"Ty Montgomery","NO","14.3","53.9","0.1","6.1","47.9","0.2","0.1","15.0"
"D'Ernest Johnson","CLE","18.5","79.4","0.4","3.6","27.5","0.1","0.2","14.9"
"Patrick Ricard","BAL","1.3","3.0","0.0","8.8","58.0","0.8","0.5","14.3"
"Royce Freeman","DEN","16.2","67.9","0.4","3.6","22.5","0.1","0.0","14.0"
"Xavier Jones","LAR","18.8","76.0","0.5","2.1","15.7","0.0","0.0","13.2"
"Jordan Howard","PHI","14.9","64.4","1.0","0.4","4.5","0.0","0.0","13.1"
"Alec Ingold","LV","4.5","18.8","0.2","6.6","54.6","0.3","0.1","13.1"
"Kene Nwangwu","MIN","23.0","91.0","0.0","3.0","21.0","0.0","0.0","12.7"
"C.J. Ham","MIN","4.7","19.9","0.2","5.9","50.0","0.3","0.1","12.5"
"Jordan Wilkins","IND","14.7","72.9","0.4","1.7","12.3","0.1","0.0","12.5"
"Ke'Shawn Vaughn","TB","13.8","58.5","0.4","2.4","17.1","0.1","0.0","12.1"
"Gary Brightwell","NYG","16.2","69.4","0.3","2.6","18.9","0.0","0.1","11.7"
"Theo Riddick","LV","7.3","30.9","0.1","5.4","42.3","0.1","0.1","10.9"
"J.J. Taylor","NE","13.6","59.2","0.4","1.9","14.7","0.0","0.0","10.9"
"Trey Edmunds","PIT","12.7","55.1","0.3","2.0","12.9","0.2","0.0","10.8"
"Kylin Hill","GB","20.0","80.6","0.1","1.5","11.0","0.0","0.0","10.5"
"Alex Armah","NO","4.4","18.5","0.2","4.5","36.5","0.2","0.1","10.0"
"Reggie Bonnafon","CAR","12.0","45.5","0.1","3.4","25.3","0.0","0.1","9.7"
"Chris Evans","CIN","14.9","57.3","0.1","2.3","17.0","0.1","0.1","9.7"
"Demetric Felton","CLE","9.3","39.4","0.4","1.9","15.2","0.1","0.0","9.0"
"Andrew Beck","DEN","4.9","21.2","0.2","4.1","28.0","0.2","0.0","9.0"
"Rico Dowdle","DAL","7.2","30.7","0.2","2.8","22.0","0.1","0.1","8.5"
"Buddy Howell","HOU","4.0","17.1","0.2","4.1","28.2","0.2","0.0","8.5"
"Ryquell Armstead","NYG","8.3","35.2","0.2","2.2","16.9","0.2","0.0","8.4"
"Nick Bellore","SEA","1.6","6.6","0.0","4.4","32.0","0.3","0.0","8.1"
"Khalil Herbert","CHI","8.3","34.4","0.2","2.0","16.3","0.1","0.0","7.8"
"Gabe Nabers","LAC","3.3","14.4","0.1","3.2","25.1","0.2","0.1","7.4"
"Mike Warren II","DET","7.7","31.4","0.2","2.3","16.7","0.1","0.0","7.3"
"Keith Smith","ATL","3.2","13.7","0.1","3.4","26.1","0.2","0.1","7.1"
"Andy Janovich","CLE","1.2","5.3","0.0","3.9","33.2","0.2","0.0","6.9"
"Ben Mason","BAL","0.0","0.0","0.0","3.5","27.7","0.2","0.0","5.8"
"Patrick Laird","MIA","2.8","11.6","0.1","2.7","19.8","0.1","0.0","5.2"
"Derek Watt","PIT","4.3","18.4","0.1","1.7","12.2","0.1","0.0","5.2"
"Alex Collins","SEA","4.8","20.2","0.2","1.4","10.6","0.0","0.1","5.1"
"Darwin Thompson","KC","3.9","16.5","0.2","1.7","12.8","0.1","0.0","5.0"
"Michael Burton","KC","3.3","13.9","0.1","1.9","14.8","0.1","0.0","4.8"
"Dwayne Washington","NO","4.7","20.0","0.1","1.5","11.6","0.0","0.0","4.7"
"Khari Blasingame","TEN","0.5","2.1","0.0","2.3","19.5","0.1","0.0","3.8"
"Elijhaa Penny","NYG","2.5","10.3","0.1","1.5","10.9","0.0","0.0","3.5"
"Jakob Johnson","NE","0.0","0.0","0.0","2.2","18.7","0.1","0.0","3.3"
"Corey Clement","NYG","4.2","17.5","0.2","0.5","3.6","0.0","0.0","3.3"
"Antonio Williams","BUF","4.1","17.4","0.1","0.4","3.2","0.0","0.0","2.9"
"Dare Ogunbowale","JAC","2.1","8.8","0.0","1.4","9.8","0.0","0.0","2.5"
"Jonathan Williams","WAS","2.3","9.8","0.0","0.9","7.0","0.0","0.0","2.1"
"Devine Ozigbo","JAC","2.7","11.8","0.1","0.4","3.2","0.0","0.0","2.0"
"Kalen Ballage","PIT","2.1","8.5","0.0","1.0","5.7","0.0","0.0","1.9"
"C.J. Prosise","TB","0.9","3.6","0.0","1.0","7.0","0.0","0.0","1.5"
"Elijah McGuire","KC","0.9","3.5","0.0","0.9","7.2","0.0","0.0","1.5"
"Taiwan Jones","BUF","0.9","3.8","0.0","0.9","7.2","0.0","0.0","1.5"
"Ryan Nall","CHI","0.9","3.7","0.0","0.9","6.5","0.0","0.0","1.4"
"Artavis Pierce","CHI","0.9","3.8","0.0","0.9","6.3","0.0","0.0","1.4"
"Nathan Cottrell","JAC","0.9","3.6","0.0","0.9","6.5","0.0","0.0","1.4"
"Jason Cabinda","DET","0.8","3.5","0.0","0.9","6.1","0.0","0.0","1.4"
"Adrian Killins Jr.","PHI","0.9","3.9","0.0","0.9","6.0","0.0","0.0","1.4"
"Jason Huntley","PHI","0.9","3.9","0.0","0.9","6.0","0.0","0.0","1.4"
"Austin Walter","NYJ","0.9","3.6","0.0","0.9","6.3","0.0","0.0","1.4"
"LeVante Bellamy","DEN","1.0","4.4","0.0","0.9","5.5","0.0","0.0","1.4"
"Damarea Crockett","DEN","1.0","4.2","0.0","0.9","5.5","0.0","0.0","1.4"
"Scottie Phillips","HOU","0.8","3.5","0.0","0.9","5.9","0.0","0.0","1.4"
"Jordan Scarlett","MIA","0.9","3.9","0.0","0.9","5.3","0.0","0.0","1.3"
"Taquan Mizzell","NYG","0.9","3.7","0.0","0.9","5.4","0.0","0.0","1.3"
"Trenton Cannon","CAR","1.0","4.0","0.0","0.8","5.1","0.0","0.0","1.3"
"Cullen Gillaspia","NYG","0.9","3.7","0.0","0.9","5.2","0.0","0.0","1.3"
"Tony Jones Jr.","NO","0.9","0.7","0.0","0.2","0.4","0.0","0.0","0.2"
""
""
