"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","297.7","1,304.4","12.1","97.0","789.1","4.5","2.5","352.3"
"Dalvin Cook","MIN","317.4","1,490.4","13.0","56.0","481.7","2.0","2.9","309.2"
"Derrick Henry","TEN","344.1","1,686.4","14.4","25.8","192.3","1.2","2.7","288.6"
"Alvin Kamara","NO","208.7","954.0","9.8","78.3","670.8","3.4","1.9","277.3"
"Saquon Barkley","NYG","272.9","1,261.8","9.6","57.8","448.6","2.0","1.8","266.1"
"Jonathan Taylor","IND","275.4","1,264.4","10.9","41.8","320.4","1.9","1.9","251.8"
"Aaron Jones","GB","234.1","1,135.5","10.3","50.4","394.5","2.6","2.1","251.3"
"Ezekiel Elliott","DAL","282.8","1,206.6","9.5","52.5","389.6","2.3","3.0","250.9"
"Austin Ekeler","LAC","184.0","839.2","4.8","81.2","707.6","4.9","2.1","249.1"
"Nick Chubb","CLE","274.2","1,373.8","11.1","28.5","227.5","1.0","1.9","242.9"
"Joe Mixon","CIN","278.0","1,174.1","8.2","50.2","368.6","2.9","2.0","241.9"
"Cam Akers","LAR","274.5","1,235.4","9.8","32.8","299.6","1.9","2.0","236.1"
"Antonio Gibson","WAS","243.8","1,096.4","9.8","45.7","331.3","1.4","2.1","228.6"
"Najee Harris","PIT","256.4","1,117.0","8.3","47.0","347.3","2.0","2.6","226.3"
"D'Andre Swift","DET","208.3","913.3","8.4","60.0","442.7","2.1","2.3","223.9"
"Chris Carson","SEA","228.2","1,045.6","7.3","43.4","320.9","2.4","2.1","212.4"
"Clyde Edwards-Helaire","KC","218.7","984.3","6.9","48.8","376.4","2.1","1.7","211.0"
"Miles Sanders","PHI","217.8","1,044.7","6.4","43.6","362.6","1.7","1.8","207.7"
"J.K. Dobbins","BAL","212.0","1,076.7","9.4","30.1","228.4","1.1","1.6","205.5"
"David Montgomery","CHI","247.4","1,037.0","7.9","37.5","298.9","1.5","1.9","204.8"
"Josh Jacobs","LV","250.0","1,068.0","9.2","31.5","236.9","0.9","2.0","202.5"
"Myles Gaskin","MIA","212.1","899.2","6.1","48.4","377.4","2.0","2.1","196.1"
"Mike Davis","ATL","227.0","895.6","6.6","48.8","311.7","1.7","1.9","191.0"
"Chase Edmonds","ARI","159.9","713.0","4.6","52.1","381.6","3.1","1.5","178.8"
"Travis Etienne","JAC","133.5","596.6","4.0","59.4","483.9","2.4","1.9","172.5"
"Kareem Hunt","CLE","154.6","684.1","5.5","38.7","317.8","2.5","1.3","165.2"
"Raheem Mostert","SF","156.4","777.3","6.1","24.9","216.8","1.3","1.4","153.9"
"James Robinson","JAC","179.7","786.0","5.3","30.5","221.9","1.0","1.4","151.2"
"David Johnson","HOU","146.8","614.9","4.7","35.9","322.5","2.3","1.5","150.4"
"Leonard Fournette","TB","166.0","684.5","6.3","32.5","224.6","1.1","1.2","149.0"
"Melvin Gordon III","DEN","182.8","805.4","6.1","26.4","167.1","1.0","3.0","147.1"
"James Conner","ARI","161.6","722.2","6.4","24.2","170.9","0.7","1.4","141.0"
"Javonte Williams","DEN","177.1","786.5","5.0","21.5","164.9","1.0","1.9","138.1"
"Damien Harris","NE","196.5","924.3","5.3","10.1","77.1","0.2","1.4","135.5"
"Ronald Jones II","TB","169.7","766.9","5.9","18.9","134.0","0.4","1.4","134.6"
"Zack Moss","BUF","156.4","668.8","5.7","22.7","162.8","0.8","1.2","131.3"
"Kenyan Drake","LV","133.3","553.5","4.5","32.8","231.3","0.7","1.4","123.1"
"Latavius Murray","NO","142.1","604.7","4.1","26.2","189.4","1.0","1.2","120.8"
"Trey Sermon","SF","137.9","626.6","5.2","18.6","152.1","1.0","1.7","120.4"
"Michael Carter","NYJ","144.9","608.1","4.0","26.2","201.7","0.9","1.8","120.0"
"J.D. McKissic","WAS","71.1","307.8","1.7","56.3","410.3","1.7","0.8","118.9"
"Jamaal Williams","DET","128.2","519.3","3.3","35.3","238.0","1.3","1.2","118.5"
"Devin Singletary","BUF","124.3","549.1","3.0","32.2","227.9","1.3","1.3","117.1"
"Tarik Cohen","CHI","69.8","291.2","1.4","57.3","394.8","2.3","1.3","116.7"
"Gus Edwards","BAL","149.9","728.7","4.7","10.5","88.0","0.3","1.3","113.9"
"James White","NE","55.0","225.8","1.8","52.1","421.5","2.3","1.2","113.0"
"Nyheim Hines","IND","62.9","265.6","2.1","49.8","371.5","2.2","1.2","112.4"
"Tony Pollard","DAL","112.2","502.4","3.2","29.9","217.9","1.3","1.2","111.5"
"AJ Dillon","GB","139.2","627.4","4.1","14.5","110.2","0.5","1.4","105.9"
"Tevin Coleman","NYJ","142.1","559.8","3.9","18.5","140.3","0.6","1.2","103.8"
