"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","112.9","1,410.7","10.2","0.8","257.0"
"George Kittle","SF","97.0","1,219.0","6.6","0.7","208.7"
"Darren Waller","LV","100.7","1,151.3","7.1","0.9","206.5"
"Mark Andrews","BAL","69.5","848.3","8.2","0.9","167.1"
"Kyle Pitts","ATL","69.0","832.3","6.4","1.2","153.5"
"T.J. Hockenson","DET","73.8","814.3","5.2","0.8","148.0"
"Dallas Goedert","PHI","63.7","708.8","4.9","0.7","130.5"
"Noah Fant","DEN","62.1","689.9","4.4","0.6","125.3"
"Tyler Higbee","LAR","58.2","653.1","5.3","0.6","125.0"
"Logan Thomas","WAS","62.9","645.6","5.0","0.6","124.7"
"Robert Tonyan","GB","54.6","601.8","6.2","0.1","124.5"
"Mike Gesicki","MIA","55.3","621.8","5.3","0.7","120.2"
"Irv Smith Jr.","MIN","51.8","569.1","5.4","0.7","113.8"
"Eric Ebron","PIT","58.0","573.3","4.6","0.7","112.3"
"Jared Cook","LAC","45.9","585.9","5.1","0.6","111.1"
"Rob Gronkowski","TB","42.1","550.6","5.5","0.2","108.9"
"Evan Engram","NYG","57.9","587.4","3.7","0.7","108.5"
"Jonnu Smith","NE","53.3","558.6","4.1","0.7","105.9"
"Austin Hooper","CLE","51.0","514.9","4.7","0.6","104.1"
"Hunter Henry","NE","51.3","555.7","3.7","0.6","102.0"
"Anthony Firkser","TEN","48.7","523.3","3.8","0.1","99.5"
"Blake Jarwin","DAL","47.2","528.6","3.8","0.2","99.0"
"Gerald Everett","SEA","41.9","431.5","3.9","0.6","86.1"
"Zach Ertz","PHI","44.3","456.0","3.0","0.6","84.4"
"Cole Kmet","CHI","43.2","431.2","3.1","1.2","81.3"
"Adam Trautman","NO","39.4","423.2","3.0","0.2","79.7"
"Tyler Eifert","JAC","40.8","409.2","3.1","0.0","79.7"
"Dawson Knox","BUF","35.4","407.4","3.8","0.7","79.6"
"Chris Herndon IV","NYJ","41.5","420.3","3.2","1.7","78.8"
"Hayden Hurst","ATL","38.5","404.6","2.9","0.1","77.2"
"Jordan Akins","HOU","39.7","422.1","2.5","0.1","77.0"
"C.J. Uzomah","CIN","36.7","358.0","3.2","0.1","73.4"
"Jack Doyle","IND","34.0","350.4","3.2","0.2","71.1"
"Mo Alie-Cox","IND","32.9","358.3","2.7","0.6","67.0"
"Will Dissly","SEA","30.3","317.9","3.0","0.1","64.6"
"Donald Parham Jr.","LAC","28.0","340.2","2.5","0.1","62.8"
"Dan Arnold","CAR","27.7","346.7","2.3","0.7","60.9"
"Tyler Conklin","MIN","29.4","308.5","2.4","0.1","59.6"
"O.J. Howard","TB","26.6","335.9","2.2","0.7","58.9"
"David Njoku","CLE","24.1","260.9","2.6","0.0","53.8"
"Jimmy Graham","CHI","23.8","249.3","2.7","0.1","52.7"
"Dalton Schultz","DAL","26.5","275.4","2.1","0.6","52.2"
"Jacob Hollister","BUF","27.1","244.5","2.1","0.5","49.6"
"Trey Burton","IND","28.0","230.0","2.0","0.0","49.0"
"Nick Boyle","BAL","23.6","219.2","2.1","0.0","46.5"
"Maxx Williams","ARI","21.4","235.6","2.0","0.1","45.8"
"Geoff Swaim","TEN","23.2","216.2","1.8","0.1","43.8"
"Kyle Rudolph","NYG","23.1","212.5","1.8","0.1","43.4"
"Drew Sample","CIN","24.8","232.1","1.4","0.6","42.9"
