"Player","Team","REC","YDS","TDS","FL","FPTS"
"James O'Shaughnessy","JAC","24.2","243.4","1.0","0.1","42.5"
"Zach Davidson","MIN","18.0","204.0","2.0","1.0","39.4"
"Cameron Brate","TB","20.5","193.0","1.6","0.0","39.0"
"Darren Fells","DET","18.0","186.2","1.6","0.0","37.1"
"Harrison Bryant","CLE","18.3","197.4","1.6","1.1","36.4"
"Virgil Green","LAC","16.0","164.0","2.0","0.0","36.4"
"Foster Moreau","LV","14.1","154.9","2.2","0.1","35.4"
"Pat Freiermuth","PIT","19.8","179.5","1.3","0.5","34.8"
"Albert Okwuegbunam","DEN","16.6","174.2","1.4","0.1","33.9"
"Adam Shaheen","MIA","16.2","164.6","1.9","1.0","33.7"
"Hunter Long","MIA","18.6","176.3","1.3","0.5","33.4"
"Ian Thomas","CAR","18.0","159.3","1.3","0.0","32.5"
"Kahale Warring","HOU","17.2","175.3","1.1","0.1","32.2"
"Ryan Izzo","HOU","12.4","209.9","1.0","1.0","31.2"
"Marcedes Lewis","GB","13.0","140.5","1.6","0.0","29.8"
"Demetrius Harris","CHI","13.0","104.0","2.0","0.0","28.9"
"Chris Manhertz","JAC","15.3","154.0","1.0","0.0","28.7"
"Noah Gray","KC","14.4","148.2","1.2","0.5","28.0"
"Pharaoh Brown","HOU","13.4","143.5","1.1","0.0","27.5"
"Jacob Harris","LAR","12.6","156.8","0.9","0.0","27.4"
"Matt Sokol","LAC","13.0","141.0","1.0","0.0","26.6"
"Ryan Griffin","NYJ","12.7","122.1","1.3","0.0","26.3"
"Daniel Helm","SF","12.0","137.0","1.0","0.0","25.7"
"Darrell Daniels","ARI","12.7","135.6","1.0","0.1","25.7"
"Reggie Gilliam","BUF","11.0","77.0","2.0","0.0","25.2"
"Thaddeus Moss","CIN","13.0","122.0","1.0","0.0","24.7"
"Tyler Kroft","NYJ","10.7","109.6","1.4","0.0","24.6"
"Durham Smythe","MIA","13.1","108.2","1.0","0.0","23.0"
"Nick Vannett","NO","11.1","118.9","0.9","0.1","22.8"
"Derek Carrier","LV","11.0","100.2","1.2","0.0","22.8"
"Hunter Bryant","DET","10.4","122.8","0.8","0.0","22.4"
"Devin Asiasi","NE","10.4","116.6","1.1","0.5","22.3"
"Jace Sternberger","GB","10.5","101.5","1.1","0.0","22.2"
"Ross Dwelley","SF","11.0","115.0","0.8","0.1","21.8"
"Brycen Hopkins","LAR","12.1","124.8","0.5","0.1","21.6"
"Brevin Jordan","HOU","10.4","111.2","0.6","0.0","20.0"
"Stephen Carlson","CLE","8.1","88.5","1.1","0.0","19.5"
"Jordan Thomas","IND","8.3","75.5","1.3","0.0","19.3"
"Luke Farrell","JAC","11.5","110.6","0.6","0.5","19.1"
"Blake Bell","KC","10.0","94.8","0.7","0.0","18.8"
"Josiah Deguara","GB","9.3","96.1","0.9","0.5","18.7"
"Johnny Mundt","LAR","8.4","88.9","0.8","0.0","17.6"
"John Bates","WAS","9.5","88.2","0.6","0.5","15.9"
"Tommy Tremble","CAR","8.6","85.3","0.4","0.5","14.2"
"Dominique Dafney","GB","5.6","60.5","0.8","0.0","13.7"
"Tommy Sweeney","BUF","6.0","75.7","0.5","0.0","13.6"
"J.P. Holtz","CHI","5.9","73.4","0.5","0.0","13.3"
"Tre' McKitty","LAC","7.0","75.3","0.4","0.0","13.3"
"Evan Baylis","KC","6.5","67.5","0.5","0.0","13.0"
"Stephen Anderson","LAC","5.9","73.2","0.4","0.0","12.9"
"Colby Parkinson","SEA","5.9","61.4","0.6","0.1","12.8"
"Jeremy Sprinkle","DAL","6.0","62.3","0.5","0.0","12.0"
"Richard Rodgers","PHI","4.9","64.5","0.5","0.0","11.8"
"Charlie Woerner","SF","5.4","64.2","0.4","0.0","11.7"
"Jaeden Graham","ATL","5.3","65.6","0.3","0.0","11.1"
"Ben Ellefson","JAC","5.1","55.6","0.4","0.0","10.2"
"Kylen Granson","IND","5.2","56.1","0.1","0.0","8.9"
"Ricky Seals-Jones","WAS","3.8","47.0","0.3","0.0","8.6"
"Josh Oliver","BAL","4.0","41.6","0.4","0.0","8.5"
"Ross Travis","ARI","3.9","42.6","0.4","0.0","8.3"
"Noah Togiai","IND","3.9","42.9","0.3","0.1","8.1"
"Nick Keizer","KC","4.2","44.5","0.2","0.0","7.9"
"Alize Mack","DET","4.0","39.3","0.2","0.0","7.1"
"Temarrick Hemingway","WAS","3.4","38.9","0.2","0.0","6.9"
"Mason Schreck","CIN","3.5","36.5","0.3","0.0","6.9"
"Jared Pinkney","TEN","3.4","33.6","0.3","0.0","6.8"
"Caleb Wilson","PHI","3.5","36.7","0.2","0.0","6.7"
"Deon Yelder","WAS","2.6","29.3","0.2","0.0","5.5"
"Zach Gentry","PIT","2.7","28.5","0.2","0.0","5.5"
"Garrett Griffin","NO","2.3","25.9","0.2","0.0","4.8"
"Brandon Dillon","MIN","2.2","23.8","0.2","0.0","4.5"
"Jesper Horsted","CHI","2.3","24.3","0.1","0.0","4.4"
"Cethan Carter","MIA","2.5","24.2","0.1","0.0","4.3"
"Eric Saubert","DEN","2.3","22.6","0.1","0.0","4.2"
"Kaden Smith","NYG","2.5","22.0","0.1","0.0","4.2"
"Troy Fumagalli","NE","1.9","18.1","0.2","0.0","3.8"
"Tanner Hudson","TB","1.5","15.7","0.1","0.0","3.2"
"Lee Smith","ATL","1.5","14.3","0.1","0.0","2.8"
"Trevon Wesco","NYJ","1.4","14.3","0.1","0.0","2.5"
"Eric Tomlinson","BAL","1.2","11.7","0.1","0.0","2.2"
"Codey McElroy","TB","0.9","8.5","0.1","0.0","1.8"
"Isaac Nauta","GB","0.8","8.4","0.1","0.0","1.7"
"Kevin Rader","PIT","0.9","8.7","0.0","0.0","1.6"
"Sean McKeon","DAL","0.9","9.7","0.0","0.0","1.5"
"Daniel Brown","NYJ","0.9","8.5","0.0","0.0","1.4"
"Tyrone Swoopes","WAS","0.9","9.6","0.0","0.0","1.4"
"MyCole Pruitt","SF","0.9","8.5","0.0","0.0","1.3"
"Tim Tebow","JAC","0.9","8.8","0.0","0.0","1.3"
"Jake Butt","CHI","0.8","8.4","0.0","0.0","1.3"
"Jordan Franks","CLE","0.8","8.2","0.0","0.0","1.3"
"Hakeem Butler","PHI","0.8","8.3","0.0","0.0","1.2"
"Antony Auclair","HOU","0.8","7.9","0.0","0.0","1.2"
"Jason Croom","PHI","0.7","8.4","0.0","0.0","1.2"
"Levine Toilolo","NYG","0.8","7.4","0.0","0.0","1.1"
"Cole Hikutini","NYG","0.8","7.2","0.0","0.0","1.1"
"Colin Thompson","CAR","0.7","6.9","0.0","0.0","1.0"
"Matt LaCosse","NE","0.7","6.8","0.0","0.0","1.0"
""
""
