"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","123.7","1,492.1","12.6","0.0","0.0","0.0","0.8","285.1"
"Tyreek Hill","KC","100.8","1,442.9","12.2","12.9","81.8","0.8","0.7","279.9"
"Stefon Diggs","BUF","112.9","1,469.1","9.1","1.3","9.8","0.0","1.2","256.4"
"DeAndre Hopkins","ARI","121.8","1,461.1","7.5","1.5","7.4","0.0","1.5","250.3"
"Calvin Ridley","ATL","99.8","1,425.3","9.1","4.8","26.3","0.1","0.8","248.5"
"Justin Jefferson","MIN","94.5","1,399.3","7.9","0.4","1.5","0.0","0.8","233.1"
"D.K. Metcalf","SEA","86.6","1,304.9","9.9","0.3","1.3","0.0","1.4","230.7"
"A.J. Brown","TEN","84.6","1,270.7","9.8","0.5","7.5","0.0","0.9","227.2"
"Keenan Allen","LAC","111.5","1,207.0","7.6","3.0","16.3","0.1","1.0","222.4"
"Michael Thomas","NO","105.3","1,253.1","6.7","0.3","-1.0","0.0","0.8","216.8"
"Amari Cooper","DAL","92.0","1,213.2","7.4","2.6","12.1","0.0","0.8","211.6"
"Allen Robinson II","CHI","97.3","1,213.9","6.8","0.3","0.3","0.0","0.7","209.6"
"Robert Woods","LAR","98.2","1,089.0","5.9","15.9","97.8","1.2","0.8","208.2"
"Terry McLaurin","WAS","90.2","1,219.3","6.8","1.3","9.4","0.0","0.7","207.3"
"Mike Evans","TB","76.1","1,117.0","9.6","0.0","0.0","0.0","0.7","205.8"
"Tyler Lockett","SEA","92.5","1,055.5","8.4","1.6","5.7","0.0","0.7","201.5"
"Adam Thielen","MIN","81.1","1,034.0","9.2","3.2","14.5","0.3","0.7","200.7"
"CeeDee Lamb","DAL","83.9","1,093.6","6.7","8.7","62.5","0.6","0.8","199.7"
"Cooper Kupp","LAR","92.9","1,068.4","7.1","2.8","17.5","0.0","0.7","196.1"
"D.J. Moore","CAR","82.5","1,195.6","5.4","3.1","20.1","0.1","0.8","194.0"
"Chris Godwin","TB","82.6","1,078.8","7.4","0.3","2.0","0.0","0.8","192.4"
"Julio Jones","TEN","78.2","1,105.0","7.2","0.5","-0.5","0.0","0.7","191.4"
"Tee Higgins","CIN","79.5","1,062.8","6.6","2.3","12.3","0.0","0.8","185.5"
"Diontae Johnson","PIT","94.5","984.1","6.3","4.4","27.2","0.1","1.4","183.9"
"Courtland Sutton","DEN","74.1","1,054.2","6.7","1.7","9.4","0.0","0.8","182.3"
"Odell Beckham Jr.","CLE","70.8","995.9","6.7","5.8","51.4","0.3","0.7","180.5"
"Ja'Marr Chase","CIN","73.3","1,063.7","6.1","1.5","8.2","0.0","1.2","178.3"
"Kenny Golladay","NYG","70.0","1,046.6","6.6","0.0","0.0","0.0","0.7","178.0"
"D.J. Chark Jr.","JAC","76.3","1,037.0","6.1","0.3","3.3","0.0","0.7","177.6"
"Brandon Aiyuk","SF","72.5","924.6","6.4","13.8","77.6","0.7","0.7","177.3"
"JuJu Smith-Schuster","PIT","89.9","905.7","6.8","0.0","0.0","0.0","0.9","174.3"
"Chase Claypool","PIT","69.9","899.1","6.9","8.3","44.0","0.6","0.9","172.7"
"Robby Anderson","CAR","80.4","991.5","5.2","2.5","12.3","0.1","0.8","170.5"
"Deebo Samuel","SF","72.1","922.8","4.8","12.9","96.2","0.7","0.8","169.5"
"Brandin Cooks","HOU","72.2","1,014.4","5.0","0.8","6.8","0.0","0.7","166.8"
"Tyler Boyd","CIN","82.0","910.3","5.0","2.1","15.6","0.0","0.8","162.3"
"Jerry Jeudy","DEN","68.2","966.7","4.9","0.0","0.0","0.0","0.8","158.7"
"Jarvis Landry","CLE","73.8","900.0","5.1","2.0","10.1","0.3","0.8","158.6"
"Michael Gallup","DAL","62.8","925.3","5.9","0.0","0.0","0.0","0.6","158.1"
"Marquise Brown","BAL","61.0","823.6","7.1","2.5","13.0","0.1","0.6","155.8"
"Laviska Shenault Jr.","JAC","69.7","785.1","4.9","20.2","111.3","0.5","0.7","155.6"
"Curtis Samuel","WAS","63.4","744.8","4.9","24.7","129.1","1.1","0.7","153.4"
"DeVante Parker","MIA","67.1","858.6","5.7","0.0","0.0","0.0","0.7","152.5"
"DeVonta Smith","PHI","63.5","901.2","4.9","1.0","6.2","0.0","1.2","149.5"
"Will Fuller V","MIA","66.8","850.8","5.3","0.0","0.0","0.0","0.6","149.1"
"T.Y. Hilton","IND","61.4","816.7","5.8","0.0","0.0","0.0","0.6","145.8"
"Mike Williams","LAC","53.5","878.3","5.2","0.3","0.5","0.0","0.6","144.5"
"Corey Davis","NYJ","67.4","877.3","4.1","0.0","0.0","0.0","0.8","144.3"
"Marvin Jones Jr.","JAC","62.3","808.1","5.4","0.3","0.0","0.0","0.6","143.1"
"Antonio Brown","TB","61.6","687.7","6.1","1.8","11.1","0.0","0.6","135.8"
"Cole Beasley","BUF","66.1","763.8","4.5","0.0","0.0","0.0","0.6","135.3"
"Tyrell Williams","DET","55.9","801.9","4.0","0.0","0.0","0.0","0.7","130.8"
"Mecole Hardman","KC","50.6","706.6","5.3","6.4","43.7","0.1","1.7","129.8"
"Russell Gage","ATL","66.6","721.8","4.0","1.5","6.3","0.0","0.6","129.2"
"Jaylen Waddle","MIA","56.4","749.1","4.6","1.0","5.1","0.0","1.2","128.9"
"Breshad Perriman","DET","52.7","759.4","3.9","1.9","11.3","0.0","0.1","126.8"
"Darnell Mooney","CHI","60.4","704.6","4.2","3.3","18.7","0.1","0.7","126.6"
"Michael Pittman Jr.","IND","56.1","731.9","4.0","3.4","21.5","0.0","0.7","126.3"
"Henry Ruggs III","LV","48.2","741.2","4.1","7.6","42.0","0.1","1.7","124.7"
"Emmanuel Sanders","BUF","56.0","685.0","4.8","0.3","2.6","0.0","0.6","124.5"
"Jalen Reagor","PHI","53.7","725.7","3.8","3.1","17.3","0.1","0.7","123.1"
"Nelson Agholor","NE","49.7","704.7","4.3","0.3","1.3","0.0","0.7","119.9"
"Gabriel Davis","BUF","42.9","634.5","5.0","0.3","0.0","0.0","0.1","114.5"
"Allen Lazard","GB","48.0","661.7","4.1","1.3","9.7","0.0","0.6","114.4"
"Sterling Shepard","NYG","58.9","600.7","3.4","3.3","25.8","0.3","0.6","113.2"
"John Brown","LV","48.2","653.1","3.7","0.3","1.0","0.0","0.6","110.6"
"A.J. Green","ARI","51.2","626.3","3.9","0.0","0.0","0.0","0.7","110.5"
"Christian Kirk","ARI","47.8","578.4","4.1","3.5","25.2","0.0","0.6","107.6"
"Jamison Crowder","NYJ","53.8","600.3","3.5","0.3","3.3","0.0","0.6","107.1"
"Tre'Quan Smith","NO","40.5","580.3","4.6","0.3","0.5","0.0","0.1","105.7"
"Rashod Bateman","BAL","43.1","569.4","4.4","0.8","4.8","0.0","0.6","103.8"
"Marquez Valdes-Scantling","GB","34.5","593.0","4.2","2.5","14.8","0.0","0.6","102.2"
"Elijah Moore","NYJ","48.6","591.0","3.0","0.7","4.2","0.0","0.4","101.3"
"Randall Cobb","HOU","49.0","605.2","2.9","0.5","1.3","0.0","0.7","101.2"
"Rondale Moore","ARI","47.1","581.4","3.2","0.5","3.3","0.0","1.2","99.0"
"Parris Campbell","IND","43.6","527.2","3.4","4.9","30.7","0.2","0.4","98.4"
"Terrace Marshall Jr.","CAR","44.8","583.7","3.2","0.5","2.8","0.0","1.1","98.0"
"Darius Slayton","NYG","41.9","569.3","3.5","0.8","2.6","0.0","0.6","97.9"
"Hunter Renfrow","LV","45.7","548.9","2.9","0.0","0.0","0.0","0.6","94.2"
"DeSean Jackson","LAR","34.5","550.6","3.5","1.6","10.6","0.0","0.6","93.3"
"Jakobi Meyers","NE","42.8","540.9","2.4","0.8","4.1","0.0","0.4","89.6"
"Chris Conley","HOU","35.9","506.4","2.8","0.0","0.0","0.0","0.2","84.9"
"Denzel Mims","NYJ","36.6","518.3","2.2","0.3","0.8","0.0","0.1","83.2"
"Keelan Cole Sr.","NYJ","37.0","475.6","3.0","0.0","0.0","0.0","0.5","83.0"
"Josh Reynolds","TEN","36.1","470.0","3.1","0.8","4.5","0.0","0.6","83.0"
"Van Jefferson","LAR","37.6","453.7","3.1","0.3","0.0","0.0","0.1","82.6"
"Amon-Ra St. Brown","DET","39.9","482.9","2.4","0.0","0.0","0.0","0.2","82.4"
"Sammy Watkins","BAL","35.1","429.7","3.4","0.8","7.5","0.0","0.6","80.3"
"Anthony Miller","CHI","38.2","444.5","2.3","2.7","13.7","0.1","0.6","77.9"
"Demarcus Robinson","KC","34.9","415.1","3.2","0.0","0.0","0.0","0.6","77.0"
"James Washington","PIT","32.4","441.6","2.8","0.0","0.0","0.0","0.6","76.3"
"Rashard Higgins","CLE","29.5","448.4","3.0","0.0","0.0","0.0","0.6","76.2"
"D'Wayne Eskridge","SEA","33.0","404.4","3.0","0.7","3.7","0.0","0.2","75.3"
"KJ Hamler","DEN","30.2","360.2","2.4","10.1","50.0","0.2","0.6","70.4"
"Zach Pascal","IND","27.5","377.3","3.1","0.3","1.8","0.0","0.0","70.4"
"Jalen Guyton","LAC","27.4","420.4","2.3","2.0","7.9","0.1","0.1","70.3"
"Kendrick Bourne","NE","31.5","398.9","2.2","0.0","0.0","0.0","0.1","68.8"
"Kadarius Toney","NYG","31.5","375.5","2.0","4.4","28.2","0.1","0.4","68.4"
"Tim Patrick","DEN","29.6","384.8","2.5","0.0","0.0","0.0","0.6","67.2"
"Marquez Callaway","NO","29.5","357.4","2.1","0.0","0.0","0.0","0.1","62.8"
"Mohamed Sanu","SF","32.8","339.5","2.0","1.3","5.7","0.0","0.5","61.9"
"Nico Collins","HOU","27.5","366.8","1.9","0.0","0.0","0.0","0.2","61.6"
"Preston Williams","MIA","24.5","315.7","2.9","0.0","0.0","0.0","0.6","60.2"
"Amari Rodgers","GB","26.4","323.4","1.9","2.7","16.3","0.1","0.2","58.8"
"Josh Palmer","LAC","25.4","324.6","2.1","0.0","0.0","0.0","0.2","57.3"
"Deonte Harris","NO","25.9","292.3","1.5","8.4","54.2","0.2","0.3","57.2"
"Olamide Zaccheaus","ATL","24.6","338.4","1.6","0.3","1.8","0.0","0.2","55.5"
"Tyron Johnson","LAC","19.9","312.0","2.1","2.3","13.0","0.0","0.1","55.3"
"Keke Coutee","HOU","27.6","324.4","1.7","0.7","3.7","0.3","2.1","54.6"
"Dyami Brown","WAS","22.8","315.2","1.7","0.0","0.0","0.0","0.1","53.1"
"Byron Pringle","KC","23.0","294.5","2.0","0.0","0.0","0.0","0.2","52.6"
"Quintez Cephus","DET","23.8","316.4","1.5","0.0","0.0","0.0","0.2","52.1"
"Richie James Jr.","SF","23.2","357.5","1.4","0.8","0.0","0.0","2.1","51.7"
"Bryan Edwards","LV","21.1","294.0","1.8","0.0","0.0","0.0","0.1","50.6"
"Travis Fulgham","PHI","22.7","296.2","1.6","0.0","0.0","0.0","0.1","50.5"
"Devin Duvernay","BAL","20.4","223.9","1.7","6.0","60.8","0.3","0.5","49.4"
"Geronimo Allison","DET","25.3","276.3","1.4","0.0","0.0","0.0","0.1","48.6"
"N'Keal Harry","NE","21.7","257.2","1.8","1.0","5.7","0.0","0.1","47.8"
"Adam Humphries","WAS","24.7","266.8","1.3","0.0","0.0","0.0","0.1","46.3"
"Tutu Atwell","LAR","21.2","275.7","1.4","0.0","0.0","0.0","0.2","45.9"
"Isaiah McKenzie","BUF","18.9","201.4","1.9","5.7","28.4","0.2","0.1","45.0"
"Scotty Miller","TB","17.0","245.3","1.8","1.4","7.7","0.1","0.1","45.0"
"Auden Tate","CIN","20.5","260.0","1.4","0.0","0.0","0.0","0.1","44.5"
"Isaiah Coulter","HOU","17.3","271.5","1.5","1.0","4.0","0.0","1.0","43.2"
"Greg Ward","PHI","22.1","220.2","1.2","0.0","0.0","0.0","0.2","39.9"
"Steven Sims Jr.","WAS","16.6","163.6","1.6","2.7","22.7","0.4","0.5","37.4"
"Donovan Peoples-Jones","CLE","14.4","221.1","1.2","0.3","1.0","0.0","0.5","35.5"
"Willie Snead IV","LV","17.3","200.0","1.1","0.0","0.0","0.0","0.1","34.8"
"Dez Fitzpatrick","TEN","15.4","200.3","1.0","0.0","0.0","0.0","0.1","33.6"
"Andre Roberts","HOU","15.0","195.0","1.0","0.0","0.0","0.0","0.0","33.0"
"Collin Johnson","JAC","15.7","195.4","0.7","0.0","0.0","0.0","0.1","31.6"
"Donte Moncrief","HOU","13.7","173.5","1.1","0.0","0.0","0.0","0.0","31.0"
"David Moore","CAR","11.6","160.8","1.0","1.2","7.8","0.0","0.1","28.5"
"Phillip Dorsett II","JAC","12.9","162.0","1.0","0.0","0.0","0.0","0.0","28.3"
"Freddie Swain","SEA","12.4","155.9","1.0","0.0","0.0","0.0","0.1","27.8"
"Olabisi Johnson","MIN","12.9","153.9","1.0","0.0","0.0","0.0","0.0","27.6"
"Cam Sims","WAS","12.1","163.6","0.8","0.0","0.0","0.0","0.0","26.9"
"Chad Beebe","MIN","11.5","141.3","0.9","0.0","0.0","0.0","0.1","25.3"
"Lynn Bowden Jr.","MIA","11.6","106.9","0.3","10.2","49.2","0.2","0.1","24.2"
"Christian Blake","ATL","12.5","146.0","0.5","0.0","0.0","0.0","0.1","23.7"
"Miles Boykin","BAL","9.9","133.0","0.8","0.8","4.9","0.0","0.1","23.5"
"KeeSean Johnson","ARI","10.6","121.5","1.0","0.0","0.0","0.0","0.0","23.4"
"Ray-Ray McCloud","PIT","11.5","113.9","0.7","3.0","18.8","0.1","0.2","23.1"
"Jalen Hurd","SF","8.0","101.9","0.6","4.6","28.2","0.2","0.1","21.7"
"Marquise Goodwin","CHI","10.8","112.4","0.5","0.0","0.0","0.0","0.0","19.7"
"Jeff Smith","NYJ","9.6","107.2","0.6","0.0","0.0","0.0","0.0","19.2"
"Tyler Johnson","TB","8.1","102.7","0.7","0.0","0.0","0.0","0.0","18.7"
"Jamal Agnew","JAC","6.9","79.3","0.4","6.1","33.1","0.2","0.1","18.4"
"Cedrick Wilson","DAL","8.3","108.9","0.6","0.0","0.0","0.0","0.1","18.3"
"Alex Erickson","HOU","9.4","107.3","0.5","0.0","0.0","0.0","0.1","18.3"
"Cameron Batson","TEN","7.2","80.3","0.6","2.5","14.9","0.1","0.1","17.1"
"Chris Moore","HOU","8.3","92.6","0.6","0.0","0.0","0.0","0.0","16.7"
"Mike Thomas","CIN","7.5","94.0","0.6","0.0","0.0","0.0","0.1","16.5"
"Noah Brown","DAL","7.4","90.8","0.6","0.0","0.0","0.0","0.1","16.0"
"Frank Darby","ATL","7.3","92.3","0.5","0.0","0.0","0.0","0.0","15.6"
"Equanimeous St. Brown","GB","6.5","88.2","0.6","0.0","0.0","0.0","0.0","15.5"
"Andy Isabella","ARI","7.2","90.1","0.5","0.0","0.0","0.0","0.0","15.5"
"Anthony Schwartz","CLE","6.8","82.8","0.6","0.0","0.0","0.0","0.0","14.9"
"Penny Hart","SEA","6.7","78.3","0.6","0.7","3.3","0.0","0.0","14.8"
"Juwan Johnson","NO","7.3","97.4","0.2","0.0","0.0","0.0","0.0","14.6"
"DaeSean Hamilton","DEN","7.3","75.0","0.5","0.0","0.0","0.0","0.0","14.0"
"Nick Westbrook-Ikhine","TEN","5.8","77.2","0.5","0.0","0.0","0.0","0.0","13.5"
"Devin Funchess","GB","5.6","71.3","0.6","0.0","0.0","0.0","0.0","13.4"
"Antonio Gandy-Golden","WAS","5.6","74.1","0.4","0.0","0.0","0.0","0.0","12.6"
"John Ross","NYG","4.3","56.4","0.5","0.7","3.9","0.0","0.1","11.3"
"Javon Wims","CHI","5.2","70.9","0.2","0.0","0.0","0.0","0.0","10.6"
"Tajae Sharpe","ATL","4.6","58.6","0.4","0.0","0.0","0.0","0.0","10.3"
