"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Albert Wilson","MIA","4.8","48.5","0.3","1.6","8.8","0.0","0.0","10.2"
"Victor Bolden Jr.","DET","5.2","56.2","0.3","0.0","0.0","0.0","0.0","10.2"
"Kalif Raymond","DET","4.9","64.9","0.1","0.0","0.0","0.0","0.0","9.8"
"Malik Taylor","GB","4.3","50.1","0.3","0.0","0.0","0.0","0.0","9.2"
"Ihmir Smith-Marsette","MIN","4.6","60.9","0.1","0.0","0.0","0.0","0.0","9.1"
"Diontae Spencer","DEN","3.6","40.0","0.2","2.4","13.6","0.1","0.0","8.9"
"Cornell Powell","KC","3.8","48.7","0.3","0.0","0.0","0.0","0.0","8.7"
"Jaelon Darden","TB","4.2","48.0","0.3","0.0","0.0","0.0","0.0","8.6"
"Justin Watson","TB","4.1","44.4","0.3","0.0","0.0","0.0","0.0","8.6"
"Isaac Whitney","ARI","4.1","47.5","0.3","0.0","0.0","0.0","0.0","8.5"
"Isaiah Hodgins","BUF","3.7","46.8","0.3","0.0","0.0","0.0","0.0","8.4"
"Lil'Jordan Humphrey","NO","3.6","47.4","0.3","0.0","0.0","0.0","0.0","8.3"
"Greg Dortch","ATL","4.1","46.9","0.3","0.0","0.0","0.0","0.0","8.3"
"Marcus Johnson","TEN","3.6","43.9","0.3","0.0","0.0","0.0","0.0","8.1"
"J.J. Nelson","IND","3.0","46.3","0.3","0.0","0.0","0.0","0.0","8.1"
"Chester Rogers","TEN","3.9","38.3","0.3","0.0","0.0","0.0","0.0","7.7"
"Jakeem Grant Sr.","MIA","3.2","35.2","0.2","1.5","8.4","0.0","0.0","7.5"
"Trent Taylor","CIN","4.0","40.1","0.2","0.0","0.0","0.0","0.0","7.4"
"Zay Jones","LV","3.3","37.3","0.3","0.0","0.0","0.0","0.0","7.2"
"Dazz Newsome","CHI","3.3","42.6","0.2","0.0","0.0","0.0","0.0","7.1"
"Gunner Olszewski","NE","2.8","33.6","0.2","1.8","9.8","0.1","0.0","7.1"
"Tylan Wallace","BAL","3.0","38.7","0.3","0.0","0.0","0.0","0.0","7.0"
"Quez Watkins","PHI","2.9","38.4","0.2","0.0","0.0","0.0","0.0","6.3"
"Keith Kirkwood","CAR","3.0","38.3","0.2","0.0","0.0","0.0","0.0","6.2"
"Gehrig Dieter","KC","2.4","31.2","0.2","0.0","0.0","0.0","0.0","5.4"
"Damiere Byrd","CHI","2.4","29.9","0.2","0.0","0.0","0.0","0.0","5.1"
"J.J. Arcega-Whiteside","PHI","2.2","31.0","0.2","0.0","0.0","0.0","0.0","5.1"
"Nsimba Webster","LAR","2.3","28.8","0.1","0.0","0.0","0.0","0.0","4.8"
"Travis Benjamin","SF","1.9","27.0","0.2","0.0","0.0","0.0","0.0","4.7"
"Jaydon Mickens","TB","2.0","24.6","0.2","0.0","0.0","0.0","0.0","4.5"
"Terry Godwin","JAC","2.0","23.6","0.2","0.0","0.0","0.0","0.0","4.4"
"Simi Fehoko","DAL","1.9","24.3","0.2","0.0","0.0","0.0","0.0","4.2"
"Brandon Powell","BUF","2.0","22.2","0.2","0.0","0.0","0.0","0.0","4.2"
"K.J. Osborn","MIN","1.9","24.7","0.1","0.0","0.0","0.0","0.0","4.2"
"Jalen Camp","JAC","1.8","23.0","0.1","0.0","0.0","0.0","0.0","3.9"
"Braxton Berrios","NYJ","1.5","17.4","0.1","1.0","5.8","0.0","0.0","3.7"
"K.J. Hill Jr.","LAC","1.4","16.7","0.1","1.0","6.3","0.0","0.0","3.7"
"Malcolm Perry","MIA","1.2","11.7","0.1","1.8","9.4","0.1","0.0","3.5"
"Allen Hurns","MIA","1.6","16.8","0.2","0.0","0.0","0.0","0.0","3.5"
"Kendall Hinton","DEN","1.4","15.6","0.1","1.2","6.4","0.0","0.0","3.5"
"Seth Williams","DEN","1.7","20.2","0.1","0.0","0.0","0.0","0.0","3.5"
"Shi Smith","CAR","1.7","20.7","0.1","0.0","0.0","0.0","0.0","3.4"
"Ashton Dulin","IND","1.2","15.0","0.1","1.2","6.2","0.0","0.0","3.3"
"Antonio Callaway","KC","1.2","14.5","0.2","0.0","0.0","0.0","0.0","3.0"
"Trent Sherfield","SF","1.1","14.8","0.1","0.0","0.0","0.0","0.0","2.4"
"Malik Turner","DAL","1.0","13.5","0.0","0.0","0.0","0.0","0.0","1.9"
"Joe Reed","LAC","0.8","9.4","0.0","0.9","4.8","0.0","0.0","1.8"
"Trey Quinn","LV","1.2","12.2","0.0","0.0","0.0","0.0","0.0","1.8"
"Matt Cole","NYJ","0.9","9.5","0.0","0.9","4.3","0.0","0.0","1.8"
"Damion Ratley","DET","1.0","11.5","0.0","0.0","0.0","0.0","0.0","1.7"
"Kelvin Harmon","WAS","0.8","10.5","0.0","0.0","0.0","0.0","0.0","1.5"
"DeAndre Carter","WAS","0.9","10.4","0.0","0.0","0.0","0.0","0.0","1.5"
"Vyncint Smith","NYJ","0.9","10.1","0.0","0.0","0.0","0.0","0.0","1.4"
"Marcus Kemp","KC","0.9","9.7","0.0","0.0","0.0","0.0","0.0","1.4"
"Isaiah Wright","WAS","0.9","9.5","0.0","0.0","0.0","0.0","0.0","1.4"
"Darrius Shepherd","KC","0.9","9.5","0.0","0.0","0.0","0.0","0.0","1.4"
"Jason Moore","LAC","0.8","9.5","0.0","0.0","0.0","0.0","0.0","1.4"
"Josh Malone","NYJ","0.9","9.4","0.0","0.0","0.0","0.0","0.0","1.4"
"Jeff Badet","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","1.4"
"Chris Rowland","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","1.4"
"Tanner Gentry","BUF","0.8","9.3","0.0","0.0","0.0","0.0","0.0","1.4"
"Chad Hansen","DET","0.9","9.2","0.0","0.0","0.0","0.0","0.0","1.3"
"Keelan Doss","LV","0.8","9.2","0.0","0.0","0.0","0.0","0.0","1.3"
"Trenton Irwin","CIN","0.8","9.2","0.0","0.0","0.0","0.0","0.0","1.3"
"Riley Ridley","CHI","0.8","9.2","0.0","0.0","0.0","0.0","0.0","1.3"
"Cyril Grayson Jr.","TB","0.9","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Lawrence Cager","NYJ","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Chad Williams","KC","0.8","8.9","0.0","0.0","0.0","0.0","0.0","1.3"
"John Ursua","SEA","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"John Hightower","PHI","0.7","9.6","0.0","0.0","0.0","0.0","0.0","1.3"
"Laquon Treadwell","JAC","0.8","8.8","0.0","0.0","0.0","0.0","0.0","1.3"
"Jake Lampman","NO","0.7","9.5","0.0","0.0","0.0","0.0","0.0","1.3"
"Darvin Kidsy","SEA","0.8","8.9","0.0","0.0","0.0","0.0","0.0","1.3"
"Stanley Morgan Jr.","CIN","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Marcell Ateman","LV","0.7","9.1","0.0","0.0","0.0","0.0","0.0","1.3"
"Mack Hollins","MIA","0.9","8.4","0.0","0.0","0.0","0.0","0.0","1.3"
"KhaDarel Hodge","CLE","0.7","9.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Robert Foster","MIA","0.7","8.8","0.0","0.0","0.0","0.0","0.0","1.2"
"Marvin Hall","NE","0.7","8.9","0.0","0.0","0.0","0.0","0.0","1.2"
"Derrick Willies","CLE","0.7","8.8","0.0","0.0","0.0","0.0","0.0","1.2"
"Alexander Hollins","CLE","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.2"
"Dan Chisena","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.2"
"JoJo Natson","CLE","0.7","8.6","0.0","0.0","0.0","0.0","0.0","1.2"
"Ja'Marcus Bradley","CLE","0.7","8.6","0.0","0.0","0.0","0.0","0.0","1.2"
"River Cracraft","SF","0.7","8.6","0.0","0.0","0.0","0.0","0.0","1.2"
"Dante Pettis","NYG","0.7","8.5","0.0","0.0","0.0","0.0","0.0","1.2"
"Kevin White","SF","0.7","8.3","0.0","0.0","0.0","0.0","0.0","1.2"
"Rashard Davis","TEN","0.7","8.1","0.0","0.0","0.0","0.0","0.0","1.2"
"Cody Hollister","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Fred Brown","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.2"
"Tyrie Cleveland","DEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.1"
"C.J. Board","NYG","0.7","7.7","0.0","0.0","0.0","0.0","0.0","1.1"
"Ryan Switzer","CLE","0.7","7.3","0.0","0.0","0.0","0.0","0.0","1.1"
"Brandon Zylstra","CAR","0.7","7.6","0.0","0.0","0.0","0.0","0.0","1.1"
"Ishmael Hyman","CAR","0.7","7.5","0.0","0.0","0.0","0.0","0.0","1.1"
"James Proche","BAL","0.7","7.0","0.0","0.0","0.0","0.0","0.0","1.0"
""
""
