"Player","Team","REC","YDS","TDS","FL","FPTS"
"Temarrick Hemingway","WAS","0.1","0.5","0.0","0.0","0.1"
"Jason Croom","PHI","0.1","0.5","0.0","0.0","0.1"
"Jeremy Sprinkle","DAL","0.1","0.5","0.0","0.0","0.1"
"MyCole Pruitt","SF","0.1","0.5","0.0","0.0","0.1"
"Garrett Griffin","NO","0.1","0.5","0.0","0.0","0.1"
"Zach Gentry","PIT","0.1","0.5","0.0","0.0","0.1"
"Kevin Rader","PIT","0.1","0.5","0.0","0.0","0.1"
"Antony Auclair","HOU","0.1","0.5","0.0","0.0","0.1"
"Tanner Hudson","TB","0.1","0.5","0.0","0.0","0.1"
"Stephen Anderson","LAC","0.1","0.5","0.0","0.0","0.1"
"Kaden Smith","NYG","0.1","0.5","0.0","0.0","0.1"
"Dominique Dafney","GB","0.1","0.5","0.0","0.0","0.1"
"Cethan Carter","MIA","0.1","0.5","0.0","0.0","0.1"
"Lee Smith","ATL","0.1","0.5","0.0","0.0","0.1"
"Charlie Woerner","SF","0.0","0.5","0.0","0.0","0.1"
"Brandon Dillon","MIN","0.0","0.5","0.0","0.0","0.1"
"Noah Togiai","IND","0.0","0.5","0.0","0.0","0.1"
"Hakeem Butler","PHI","0.0","0.5","0.0","0.0","0.1"
"Durham Smythe","MIA","0.1","0.4","0.0","0.0","0.1"
"Colin Thompson","CAR","0.0","0.5","0.0","0.0","0.1"
"Trevon Wesco","NYJ","0.0","0.4","0.0","0.0","0.1"
"Jordan Franks","CLE","0.0","0.4","0.0","0.0","0.1"
"Daniel Brown","NYJ","0.0","0.4","0.0","0.0","0.1"
"Stephen Carlson","CLE","0.0","0.4","0.0","0.0","0.1"
"Josiah Deguara","GB","0.0","0.4","0.0","0.0","0.1"
"Isaac Nauta","GB","0.0","0.4","0.0","0.0","0.1"
"Cole Hikutini","NYG","0.0","0.4","0.0","0.0","0.1"
"J.P. Holtz","CHI","0.0","0.4","0.0","0.0","0.1"
"Jesper Horsted","CHI","0.0","0.4","0.0","0.0","0.1"
"Eric Tomlinson","BAL","0.0","0.4","0.0","0.0","0.1"
"Luke Stocker","TEN","0.0","0.4","0.0","0.0","0.1"
"Eric Saubert","DEN","0.0","0.2","0.0","0.0","0.0"
"Devin Asiasi","NE","0.0","0.2","0.0","0.0","0.0"
"Matt LaCosse","NE","0.0","0.2","0.0","0.0","0.0"
""
""
