"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Terrace Marshall Jr.","CAR","3.6","43.1","0.1","0.1","0.5","0.0","0.0","6.9"
"A.J. Green","ARI","3.5","45.9","0.1","0.0","0.0","0.0","0.1","6.9"
"Rondale Moore","ARI","3.5","44.1","0.1","0.1","0.6","0.0","0.0","6.9"
"Darius Slayton","NYG","3.3","47.0","0.1","0.0","0.0","0.0","0.0","6.8"
"Van Jefferson","LAR","3.5","40.5","0.1","0.2","0.7","0.0","0.0","6.7"
"Gabriel Davis","BUF","2.7","41.6","0.2","0.0","0.0","0.0","0.0","6.6"
"Randall Cobb","GB","3.3","41.5","0.1","0.1","0.2","0.0","0.0","6.6"
"Anthony Miller","HOU","3.2","37.2","0.1","0.3","1.5","0.0","0.1","6.1"
"Denzel Mims","NYJ","3.3","39.3","0.1","0.1","0.6","0.0","0.0","6.1"
"Jamison Crowder","NYJ","3.4","39.6","0.1","0.1","0.6","0.0","0.1","6.1"
"Jakobi Meyers","NE","3.1","40.5","0.1","0.0","0.2","0.0","0.0","6.0"
"Amon-Ra St. Brown","DET","3.1","37.7","0.1","0.1","0.4","0.0","0.0","5.8"
"Tyrell Williams","DET","2.6","37.6","0.1","0.0","0.1","0.0","0.0","5.7"
"Keelan Cole Sr.","NYJ","2.8","35.7","0.1","0.0","0.1","0.0","0.0","5.6"
"Marquez Callaway","NO","2.8","34.7","0.1","0.1","0.3","0.0","0.0","5.6"
"Preston Williams","MIA","2.7","34.6","0.1","0.0","0.0","0.0","0.1","5.4"
"DeSean Jackson","LAR","2.1","33.4","0.1","0.4","2.1","0.0","0.0","5.3"
"Sammy Watkins","BAL","2.6","34.4","0.1","0.1","0.5","0.0","0.1","5.3"
"Josh Reynolds","TEN","2.6","32.5","0.1","0.1","0.3","0.0","0.0","5.3"
"Bryan Edwards","LV","2.4","32.4","0.1","0.1","0.3","0.0","0.0","4.9"
"Hunter Renfrow","LV","2.6","31.0","0.1","0.0","0.0","0.0","0.0","4.9"
"D'Wayne Eskridge","SEA","2.4","28.5","0.1","0.1","0.6","0.0","0.0","4.7"
"Kadarius Toney","NYG","2.4","30.3","0.0","0.3","1.5","0.0","0.0","4.6"
"Nico Collins","HOU","2.0","28.0","0.1","0.0","0.2","0.0","0.0","4.4"
"Deonte Harris","NO","2.3","25.3","0.1","0.2","1.5","0.0","0.1","4.3"
"Marquez Valdes-Scantling","GB","1.8","30.4","0.0","0.1","0.5","0.0","0.0","4.2"
