"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Devontae Booker","NYG","3.6","14.4","0.0","1.0","4.7","0.0","0.0","2.7"
"Chuba Hubbard","CAR","3.9","14.3","0.0","1.1","4.7","0.0","0.0","2.7"
"Xavier Jones","LAR","3.5","13.4","0.1","0.8","4.1","0.0","0.0","2.6"
"Benny Snell Jr.","PIT","4.7","15.2","0.0","1.4","2.5","0.0","0.1","2.5"
"Malcolm Brown","MIA","3.6","13.8","0.0","0.9","3.2","0.0","0.0","2.3"
"Carlos Hyde","JAC","4.8","15.2","0.0","0.8","2.4","0.0","0.1","2.2"
"Matt Breida","BUF","3.3","11.8","0.0","0.9","4.2","0.0","0.1","2.1"
"La'Mical Perine","NYJ","3.6","11.9","0.0","1.0","3.9","0.0","0.0","2.1"
"Javian Hawkins","ATL","3.3","10.4","0.0","1.2","4.2","0.0","0.0","2.0"
"Samaje Perine","CIN","3.1","11.5","0.1","0.7","2.0","0.0","0.0","2.0"
"Qadree Ollison","ATL","2.8","10.1","0.1","0.6","2.7","0.0","0.0","2.0"
"DeeJay Dallas","SEA","2.5","8.2","0.0","1.0","4.6","0.0","0.0","2.0"
"Brian Hill","TEN","2.3","8.7","0.0","0.9","3.1","0.0","0.0","1.8"
"Ke'Shawn Vaughn","TB","3.1","10.3","0.0","0.8","2.6","0.0","0.0","1.8"
"Jerick McKinnon","KC","2.7","6.7","0.0","0.8","4.3","0.0","0.0","1.6"
"Cordarrelle Patterson","ATL","1.5","6.1","0.0","0.5","3.6","0.0","0.0","1.5"
"Mike Boone","DEN","1.9","8.3","0.0","0.4","1.8","0.0","0.0","1.5"
"Anthony McFarland Jr.","PIT","2.1","7.3","0.0","0.7","3.4","0.0","0.0","1.5"
"Peyton Barber","WAS","2.8","8.7","0.0","0.5","1.3","0.0","0.0","1.5"
"Jalen Richard","LV","1.0","3.5","0.0","0.9","5.6","0.0","0.0","1.5"
"Kyle Juszczyk","SF","0.9","2.9","0.0","0.6","4.4","0.0","0.0","1.2"
"Trayveon Williams","CIN","1.5","5.5","0.0","0.5","2.0","0.0","0.0","1.2"
"Kerryon Johnson","PHI","2.0","6.2","0.0","0.6","2.7","0.0","0.1","1.1"
"Kalen Ballage","PIT","2.4","5.2","0.0","0.8","2.3","0.0","0.0","1.1"
"Jaylen Samuels","PIT","1.6","6.1","0.0","0.4","1.6","0.0","0.0","1.1"
"Rex Burkhead","HOU","1.4","4.0","0.0","0.6","3.0","0.0","0.0","1.0"
"Ito Smith","ARI","1.3","3.8","0.0","0.6","2.1","0.0","0.0","1.0"
"Raymond Calais","LAR","1.3","4.9","0.0","0.3","1.5","0.0","0.0","1.0"
"Jordan Wilkins","IND","1.5","5.2","0.0","0.5","1.3","0.0","0.0","0.9"
"Royce Freeman","DEN","1.0","3.7","0.0","0.3","1.2","0.0","0.0","0.8"
"Eno Benjamin","ARI","1.2","3.7","0.0","0.5","1.7","0.0","0.0","0.7"
"Brandon Bolden","NE","0.8","3.1","0.0","0.3","1.4","0.0","0.0","0.7"
"JaMycal Hasty","SF","0.8","3.1","0.0","0.2","1.2","0.0","0.0","0.7"
"Dare Ogunbowale","JAC","0.8","1.8","0.0","0.6","1.7","0.0","0.0","0.7"
"Jordan Howard","PHI","2.1","4.4","0.0","0.4","0.7","0.0","0.0","0.7"
"D'Onta Foreman","ATL","0.9","3.0","0.0","0.3","0.5","0.0","0.0","0.6"
"Trey Edmunds","PIT","0.8","2.7","0.0","0.2","1.0","0.0","0.0","0.6"
"Tony Brooks-James","PIT","0.8","2.9","0.0","0.2","0.5","0.0","0.0","0.5"
"Devonta Freeman","NO","0.6","1.8","0.0","0.2","1.4","0.0","0.0","0.5"
"Devine Ozigbo","JAC","0.8","2.4","0.0","0.3","0.8","0.0","0.0","0.5"
"Justice Hill","BAL","0.6","1.9","0.0","0.4","0.6","0.0","0.0","0.5"
"Alec Ingold","LV","0.3","1.1","0.0","0.2","1.3","0.0","0.0","0.4"
"C.J. Ham","MIN","0.4","1.2","0.0","0.2","1.1","0.0","0.0","0.4"
"Alex Armah","NO","0.3","1.0","0.0","0.2","1.2","0.0","0.0","0.4"
"Larry Rountree III","LAC","0.6","1.7","0.0","0.2","0.7","0.0","0.0","0.3"
"Buddy Howell","HOU","0.2","0.8","0.0","0.2","1.0","0.0","0.0","0.3"
"Andrew Beck","DEN","0.3","1.0","0.0","0.2","1.0","0.0","0.0","0.3"
"Derek Watt","PIT","0.2","0.8","0.0","0.1","0.8","0.0","0.0","0.3"
"Nick Bellore","SEA","0.1","0.5","0.0","0.2","1.0","0.0","0.0","0.3"
"Antonio Williams","BUF","0.4","1.5","0.0","0.1","0.3","0.0","0.0","0.3"
"Andy Janovich","CLE","0.2","0.5","0.0","0.2","1.1","0.0","0.0","0.3"
"Keith Smith","ATL","0.2","0.8","0.0","0.1","0.5","0.0","0.0","0.2"
"Gabe Nabers","LAC","0.2","0.8","0.0","0.1","0.4","0.0","0.0","0.2"
"Travis Homer","SEA","0.1","0.5","0.0","0.2","0.6","0.0","0.0","0.2"
"Patrick Ricard","BAL","0.1","0.5","0.0","0.1","0.6","0.0","0.0","0.2"
"Ameer Abdullah","MIN","0.2","0.6","0.0","0.1","0.5","0.0","0.0","0.2"
"Dexter Williams","GB","0.2","0.8","0.0","0.1","0.2","0.0","0.0","0.2"
"Josh Adams","NYJ","0.3","1.0","0.0","0.1","0.3","0.0","0.0","0.2"
"Kylin Hill","GB","0.3","0.9","0.0","0.1","0.4","0.0","0.0","0.2"
"Corey Clement","NYG","0.2","0.8","0.0","0.1","0.3","0.0","0.0","0.2"
"Reggie Bonnafon","CAR","0.3","0.9","0.0","0.1","0.2","0.0","0.0","0.2"
"Darwin Thompson","KC","0.2","0.9","0.0","0.1","0.3","0.0","0.0","0.2"
"Michael Burton","KC","0.2","0.6","0.0","0.1","0.4","0.0","0.0","0.1"
"Jaret Patterson","WAS","0.3","0.7","0.0","0.1","0.3","0.0","0.0","0.1"
"Patrick Laird","MIA","0.2","0.6","0.0","0.1","0.2","0.0","0.0","0.1"
"Jonathan Williams","WAS","0.2","0.5","0.0","0.1","0.3","0.0","0.0","0.1"
"Kene Nwangwu","MIN","0.2","0.6","0.0","0.1","0.2","0.0","0.0","0.1"
"Jake Funk","LAR","0.2","0.6","0.0","0.1","0.2","0.0","0.0","0.1"
"Jermar Jefferson","DET","0.2","0.6","0.0","0.1","0.2","0.0","0.0","0.1"
"Elijah Mitchell","SF","0.2","0.6","0.0","0.1","0.2","0.0","0.0","0.1"
"Khalil Herbert","CHI","0.2","0.6","0.0","0.1","0.2","0.0","0.0","0.1"
"Gerrid Doaks","MIA","0.2","0.6","0.0","0.1","0.2","0.0","0.0","0.1"
"Taiwan Jones","BUF","0.1","0.3","0.0","0.1","0.3","0.0","0.0","0.1"
"J.J. Taylor","NE","0.1","0.4","0.0","0.1","0.2","0.0","0.0","0.1"
"Dontrell Hilliard","HOU","0.2","0.5","0.0","0.1","0.3","0.0","0.0","0.1"
"Taquan Mizzell","NYG","0.1","0.2","0.0","0.1","0.3","0.0","0.0","0.1"
"Nathan Cottrell","JAC","0.1","0.4","0.0","0.1","0.3","0.0","0.0","0.1"
"Elijhaa Penny","NYG","0.1","0.2","0.0","0.1","0.3","0.0","0.0","0.1"
"Dwayne Washington","NO","0.1","0.4","0.0","0.1","0.3","0.0","0.0","0.1"
"Khari Blasingame","TEN","0.1","0.4","0.0","0.1","0.3","0.0","0.0","0.1"
"Elijah McGuire","KC","0.1","0.3","0.0","0.1","0.3","0.0","0.0","0.1"
"Jeremy McNichols","TEN","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.1"
"C.J. Prosise","TB","0.0","0.2","0.0","0.0","0.2","0.0","0.0","0.1"
"D'Ernest Johnson","CLE","0.0","0.2","0.0","0.0","0.2","0.0","0.0","0.1"
"Jakob Johnson","NE","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.1"
"Scottie Phillips","HOU","0.0","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"LeVante Bellamy","DEN","0.0","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Adrian Killins Jr.","PHI","0.0","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Jason Huntley","PHI","0.0","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Austin Walter","NYJ","0.0","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Jordan Scarlett","MIA","0.0","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Ty Montgomery","NO","0.1","0.2","0.0","0.0","0.3","0.0","0.0","0.0"
"Trenton Cannon","CAR","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Lamar Miller","WAS","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Rico Dowdle","DAL","0.0","0.1","0.0","0.0","0.2","0.0","0.0","0.0"
"Artavis Pierce","CHI","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Alex Collins","SEA","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Damarea Crockett","DEN","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Jason Cabinda","DET","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Ryan Nall","CHI","0.0","0.1","0.0","0.0","0.2","0.0","0.0","0.0"
"Alfred Morris","NYG","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Cullen Gillaspia","NYG","0.1","0.2","0.0","0.0","0.2","0.0","0.0","0.0"
"Tony Jones Jr.","NO","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
